trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_12_vs_Student_0,sw_Ablated_12_vs_Student_1,sw_Student_0_vs_Student_1,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,0.06950237985056329,0.09484656140222343,0.05923506184414998,0.02977411409144981,0.08217447062639335,0.01267209077583007
1,1,0.0,30.0,False,0.05395369141829138,0.0490061544318774,0.06626453386017545,0.01675401707512881,0.05147992292508439,0.0024737684932069903
2,1,0.0,60.0,False,0.03927906773752904,0.05213330192716534,0.03263770570172078,0.023731411802121995,0.04570618483234719,0.006427117094818149
3,1,0.0,90.0,False,0.08111087456266658,0.09181987745888884,0.07263287773583016,0.02578390706039775,0.08646537601077771,0.005354501448111129
4,1,0.0,120.0,False,0.12984517478605057,0.12427295429058972,0.06487025931520984,0.06421661561944594,0.12705906453832014,0.002786110247730421
5,1,0.0,150.0,False,0.04002865594545717,0.06804644118209716,0.04810404036447139,0.04806712980285552,0.05403754856377716,0.014008892618319994
6,1,0.0,180.0,False,0.034415625643263906,0.030372764233910367,0.0181515041127532,0.014400353499840712,0.03239419493858714,0.0020214307046767695
7,1,0.0,210.0,False,0.031956001408610324,0.03252780996506699,0.008914005972275962,0.00878905448137111,0.03224190568683866,0.00028590427822833275
8,1,0.0,240.0,False,0.030940266830494747,0.05133699095355968,0.03237806468481887,0.015769482741722518,0.04113862889202721,0.010198362061532467
9,1,0.0,270.0,False,0.07052778267278634,0.08136965737053045,0.03620926034515054,0.028315114781409634,0.0759487200216584,0.005420937348872057
10,1,0.0,300.0,False,0.04079598575096025,0.050844403029265434,0.03343632628346062,0.012654460688799211,0.04582019439011284,0.005024208639152591
11,1,0.0,330.0,False,0.4682850163440331,0.38600715947410646,0.11707260585557126,0.07014441481207215,0.42714608790906977,0.04113892843496331
12,1,30.0,0.0,False,0.07851902968456254,0.07801297460283924,0.06832334183240271,0.04937376073571666,0.07826600214370089,0.00025302754086165
13,1,30.0,30.0,True,0.12318491084901141,0.08343363876449869,0.07100729694452688,0.03878528309341038,0.10330927480675506,0.01987563604225636
14,1,30.0,60.0,False,0.10109134019835772,0.09336867846729108,0.0880215974246108,0.05111568711628642,0.0972300093328244,0.0038613308655333217
15,1,30.0,90.0,False,0.05364077715814261,0.05600749730590883,0.07632190877626974,0.02178796441050675,0.05482413723202572,0.0011833600738831093
16,1,30.0,120.0,False,0.028463803694388758,0.02553004297258566,0.026446197254096297,0.011546770124224226,0.02699692333348721,0.0014668803609015485
17,1,30.0,150.0,False,0.025637195997181415,0.024288664523344897,0.016102780930317015,0.008838059320770388,0.024962930260263156,0.0006742657369182593
18,1,30.0,180.0,False,0.03822970864205481,0.04357597769964518,0.01916676010080992,0.010552111197372354,0.040902843170849995,0.002673134528795182
19,1,30.0,210.0,False,0.04454286080538935,0.05020997500724119,0.016229119625559014,0.03001754055628892,0.04737641790631527,0.002833557100925921
20,1,30.0,240.0,False,0.03401310174803658,0.06155098611303689,0.043034999423993164,0.03276923595224392,0.047782043930536734,0.013768942182500153
21,1,30.0,270.0,False,0.0909993792969673,0.09583080815208833,0.04621874295386712,0.032050155645677224,0.09341509372452782,0.002415714427560514
22,1,30.0,300.0,False,0.0644552153392507,0.08860011781196789,0.050303914731884364,0.027010559978510776,0.07652766657560929,0.012072451236358597
23,1,30.0,330.0,False,0.09126299069740272,0.10962681838956445,0.03736761168546705,0.05388006111304472,0.10044490454348359,0.009181913846080865
24,1,60.0,0.0,False,0.056755618123029025,0.1351219869841371,0.09509606368501419,0.05425127369588359,0.09593880255358306,0.03918318443055404
25,1,60.0,30.0,False,0.16757530983517732,0.11043246040175428,0.17499452166063864,0.04646207842981168,0.1390038851184658,0.02857142471671152
26,1,60.0,60.0,True,0.037828414004622904,0.074478796663171,0.059770388724006265,0.04773644934293898,0.056153605333896954,0.01832519132927405
27,1,60.0,90.0,False,0.03798195345132678,0.039816578551191056,0.013427586793410745,0.009066429250865964,0.03889926600125892,0.000917312549932138
28,1,60.0,120.0,False,0.029158956154098744,0.02946525668216883,0.012352456955169544,0.007928206259783663,0.02931210641813379,0.0001531502640350433
29,1,60.0,150.0,False,0.024915376960164604,0.030329933148771485,0.013154001637963948,0.010082184199969889,0.027622655054468044,0.0027072780943034405
30,1,60.0,180.0,False,0.03178353318853269,0.03614713825753696,0.01227492667870303,0.007663728305510943,0.033965335723034826,0.0021818025345021336
31,1,60.0,210.0,False,0.042762234040268625,0.05158737268007959,0.017685286527915563,0.020740816252154008,0.04717480336017411,0.004412569319905482
32,1,60.0,240.0,False,0.046101365853974854,0.0701524210751718,0.03650180323055194,0.03986645485951447,0.05812689346457333,0.012025527610598476
33,1,60.0,270.0,False,0.060911347593063485,0.05751315583928367,0.02910513168056351,0.034638162612780264,0.05921225171617357,0.001699095876889909
34,1,60.0,300.0,False,0.09573778245017205,0.0728057922353939,0.0653464031583065,0.061460471376080114,0.08427178734278298,0.01146599510738907
35,1,60.0,330.0,False,0.046830398788633626,0.0404842379812779,0.03219211968247028,0.027059746404125777,0.04365731838495576,0.0031730804036778637
36,1,90.0,0.0,False,0.04600779306191682,0.1362114479634645,0.10809559116654274,0.046591993763671395,0.09110962051269066,0.04510182745077383
37,1,90.0,30.0,False,0.07810125044729237,0.050640025908172515,0.03777919368165787,0.06470851171988164,0.06437063817773245,0.013730612269559926
38,1,90.0,60.0,False,0.05522981768873974,0.05138311719635019,0.011492888304933809,0.011325991446013622,0.05330646744254497,0.0019233502461947737
39,1,90.0,90.0,True,0.05795959469600469,0.03955092560422543,0.03031553162309155,0.010226100524195165,0.048755260150115054,0.00920433454588963
40,1,90.0,120.0,False,0.023326978143488303,0.04195865864655755,0.03796617128389057,0.012281819936286341,0.03264281839502293,0.009315840251534625
41,1,90.0,150.0,False,0.024822484880437264,0.02608284487923248,0.013756753000176435,0.0065050786743982795,0.02545266487983487,0.0006301799993976079
42,1,90.0,180.0,False,0.036122542076639744,0.03163599648716242,0.009689149688668141,0.013616999325661325,0.03387926928190108,0.0022432727947386613
43,1,90.0,210.0,False,0.02993955136419314,0.0326938382945515,0.009524071180400146,0.017808812840348492,0.03131669482937232,0.001377143465179179
44,1,90.0,240.0,False,0.056048829879384254,0.043399020979005956,0.032108656275969524,0.03572134885045229,0.049723925429195105,0.006324904450189149
45,1,90.0,270.0,False,0.08769663765037182,0.0645318044479043,0.06411299012963391,0.06943158533595462,0.07611422104913806,0.011582416601233762
46,1,90.0,300.0,False,0.044408302006600675,0.07793439753409409,0.073067835736401,0.04267143605366033,0.06117134977034738,0.016763047763746708
47,1,90.0,330.0,False,0.04389798002339851,0.05535525155088508,0.03692929457497143,0.039128767973042974,0.049626615787141795,0.005728635763743287
48,1,120.0,0.0,False,0.04683067430126989,0.06995782071079151,0.07806064273542715,0.027410845538168756,0.0583942475060307,0.011563573204760813
49,1,120.0,30.0,False,0.04079022058330235,0.04702135067348698,0.030390016081911372,0.03353986665206109,0.043905785628394665,0.0031155650450923125
50,1,120.0,60.0,False,0.026844884710075234,0.023777953190116864,0.0072081741957073404,0.008153495665511368,0.02531141895009605,0.001533465759979185
51,1,120.0,90.0,False,0.03226423714202552,0.027045035841988824,0.029119627976570486,0.011477269433354932,0.02965463649200717,0.0026096006500183466
52,1,120.0,120.0,True,0.04125315557761441,0.035802441834573484,0.05549325244587452,0.008256911448130958,0.03852779870609395,0.0027253568715204617
53,1,120.0,150.0,False,0.045621098531495305,0.03388699784568834,0.03596735828928992,0.012925649456757051,0.03975404818859182,0.005867050342903482
54,1,120.0,180.0,False,0.03441385090896068,0.04090564593606942,0.013163146101477754,0.013085352621963108,0.03765974842251505,0.0032458975135543702
55,1,120.0,210.0,False,0.039699853460776376,0.039851615026953766,0.010993448916518185,0.01939468826107069,0.039775734243865074,7.588078308869498e-05
56,1,120.0,240.0,False,0.04723542877543967,0.05547020918917389,0.047693369699106716,0.08799098645784026,0.05135281898230678,0.004117390206867112
57,1,120.0,270.0,False,0.059788981326069524,0.10902026998912286,0.07047887294546437,0.03409291021177332,0.08440462565759618,0.024615644331526666
58,1,120.0,300.0,False,0.06650318930155538,0.15839253167324863,0.19074523580713787,0.03317749476223948,0.112447860487402,0.04594467118584662
59,1,120.0,330.0,False,0.102197768996759,0.08027711375096153,0.16267708679477288,0.05062335164578117,0.09123744137386026,0.010960327622898738
60,1,150.0,0.0,False,0.04009309683074501,0.03379913361339443,0.026756874870398226,0.02314984213161376,0.03694611522206972,0.003146981608675291
61,1,150.0,30.0,False,0.03479523144012685,0.03671155731290954,0.02528890244410907,0.026267180112076603,0.03575339437651819,0.0009581629363913449
62,1,150.0,60.0,False,0.024128200639052168,0.029211293710514223,0.01973100172247421,0.010533441311522312,0.026669747174783195,0.0025415465357310277
63,1,150.0,90.0,False,0.027443084812571884,0.028691959354626623,0.010984315630032934,0.008552819154845976,0.028067522083599254,0.0006244372710273692
64,1,150.0,120.0,False,0.02719502951100727,0.023020296763940004,0.01585731897343075,0.0091255871068694,0.02510766313747364,0.002087366373533633
65,1,150.0,150.0,True,0.06816192295291745,0.04684350876828549,0.03502755243001039,0.025521561125940766,0.057502715860601475,0.010659207092315982
66,1,150.0,180.0,False,0.04202918266132913,0.0396909010540572,0.04241393994097639,0.017493668307248238,0.040860041857693166,0.0011691408036359659
67,1,150.0,210.0,False,0.04672810648147019,0.04085316035928887,0.015459858857979115,0.029620854152348216,0.04379063342037953,0.0029374730610906598
68,1,150.0,240.0,False,0.03702747616768316,0.028585452403372007,0.014802647460202543,0.01994021622558388,0.03280646428552758,0.004221011882155578
69,1,150.0,270.0,False,0.10415311035385252,0.03916958706016517,0.08775855704528876,0.07948252688270831,0.07166134870700885,0.03249176164684368
70,1,150.0,300.0,False,0.0682763629598256,0.039301960746119455,0.03644464063485685,0.03831459082917709,0.05378916185297253,0.014487201106853073
71,1,150.0,330.0,False,0.03439854005533752,0.03360391059383227,0.01899082319217698,0.026947305120368567,0.0340012253245849,0.0003973147307526244
72,1,180.0,0.0,False,0.0337175738947936,0.04456247971836483,0.025682792966849506,0.019263171035367947,0.039140026806579215,0.0054224529117856135
73,1,180.0,30.0,False,0.04664704938528099,0.05841351882731661,0.022609680553014842,0.024700489468982654,0.0525302841062988,0.005883234721017809
74,1,180.0,60.0,False,0.04002213268872548,0.043532750717455396,0.034905270565493904,0.03465957069926271,0.04177744170309044,0.0017553090143649572
75,1,180.0,90.0,False,0.02197853154740958,0.024127818518105852,0.009737385844915035,0.009406036315021417,0.023053175032757715,0.0010746434853481368
76,1,180.0,120.0,False,0.03128112164449377,0.03756255628195333,0.018655613057173757,0.01025769052866041,0.03442183896322355,0.00314071731872978
77,1,180.0,150.0,False,0.0473948898509652,0.044501108300468196,0.04629859317584724,0.015262827988900919,0.0459479990757167,0.0014468907752485
78,1,180.0,180.0,True,0.0597170933431926,0.041495488169828565,0.03205676126062384,0.03544536450731651,0.05060629075651058,0.009110802586682017
79,1,180.0,210.0,False,0.05546198091130883,0.07473002772699136,0.044183825603828976,0.01248530205806557,0.0650960043191501,0.009634023407841266
80,1,180.0,240.0,False,0.038897709692410895,0.04778903265064527,0.01691983075864096,0.015453500911840435,0.04334337117152808,0.004445661479117187
81,1,180.0,270.0,False,0.04615402290492293,0.030161990630830908,0.029445677483570284,0.01821427539842418,0.03815800676787692,0.007996016137046012
82,1,180.0,300.0,False,0.03723176793985544,0.02786821865983022,0.02207911952262561,0.03322599806187558,0.03254999329984283,0.004681774640012612
83,1,180.0,330.0,False,0.09503998110306458,0.13219582758948473,0.05257360005941989,0.04367216753130662,0.11361790434627465,0.018577923243210073
84,1,210.0,0.0,False,0.06853719569926392,0.11189306670124018,0.057972511890056894,0.03991761519721518,0.09021513120025204,0.02167793550098813
85,1,210.0,30.0,False,0.06961670703549128,0.07657040225019351,0.04311111806078454,0.03198265193374499,0.0730935546428424,0.003476847607351119
86,1,210.0,60.0,False,0.07653228311947496,0.08987864113673825,0.03762477814778573,0.08143642802810107,0.08320546212810662,0.006673179008631645
87,1,210.0,90.0,False,0.08111479498903183,0.09450273222182007,0.04805641429887536,0.0466869042337701,0.08780876360542594,0.006693968616394118
88,1,210.0,120.0,False,0.030311919903006808,0.029054282346737022,0.014873575193407786,0.020137956553056044,0.029683101124871915,0.0006288187781348931
89,1,210.0,150.0,False,0.03138395050906184,0.032411589232209825,0.025673743905400028,0.012042845437729084,0.031897769870635834,0.0005138193615739917
90,1,210.0,180.0,False,0.05760695371315759,0.10088944092193793,0.05709143440806681,0.021354271335200882,0.07924819731754776,0.021641243604390167
91,1,210.0,210.0,True,0.050007006138927244,0.07973124527329055,0.0518151312285231,0.016831397037605365,0.0648691257061089,0.014862119567181652
92,1,210.0,240.0,False,0.055042178269523664,0.04217649350700878,0.03093296068464396,0.01742991299017717,0.04860933588826622,0.006432842381257443
93,1,210.0,270.0,False,0.050308585415805726,0.05972992340990971,0.017936918804439005,0.016099611536787573,0.05501925441285772,0.004710668997051991
94,1,210.0,300.0,False,0.03403978261876936,0.04183919502423588,0.0224972723248075,0.012632842632256665,0.03793948882150262,0.00389970620273326
95,1,210.0,330.0,False,0.03897322068072827,0.034131735208641836,0.023931294434545346,0.018792940837500223,0.03655247794468505,0.002420742736043216
96,1,240.0,0.0,False,0.038364992627036576,0.02197472367776178,0.03344846480001893,0.020670289938016034,0.030169858152399177,0.008195134474637399
97,1,240.0,30.0,False,0.04492758729535948,0.06641255663771037,0.05659343537068341,0.05752088124570335,0.05567007196653492,0.010742484671175445
98,1,240.0,60.0,False,0.12616259972568278,0.14413692023219324,0.15324202595698894,0.048364524516117474,0.13514975997893802,0.00898716025325523
99,1,240.0,90.0,False,0.13890017965698886,0.1029015313775974,0.05078247739827355,0.03968354887449678,0.12090085551729313,0.01799932413969573
100,1,240.0,120.0,False,0.06626576586029428,0.12808689953752833,0.09663596661096426,0.10644587701382197,0.09717633269891131,0.030910566838617023
101,1,240.0,150.0,False,0.053066730808799,0.05642796840333081,0.015772580254326644,0.022344847397428327,0.05474734960606491,0.0016806187972659044
102,1,240.0,180.0,False,0.021770395447028475,0.046434205764416606,0.03105289419939393,0.01653634287616388,0.034102300605722544,0.012331905158694065
103,1,240.0,210.0,False,0.05307640027758309,0.04532544505779551,0.018818556595671717,0.02753531530955561,0.0492009226676893,0.0038754776098937904
104,1,240.0,240.0,True,0.040725149251681705,0.04901839882719951,0.029961198975176496,0.010453312410514136,0.04487177403944061,0.004146624787758901
105,1,240.0,270.0,False,0.04029178231932645,0.04417373290009831,0.05605861741745321,0.012216360875966559,0.04223275760971238,0.0019409752903859281
106,1,240.0,300.0,False,0.03583076404385624,0.03694911422430207,0.014764093180980209,0.015304217976352973,0.036389939134079154,0.0005591750902229145
107,1,240.0,330.0,False,0.04413655233658018,0.0823797828105432,0.047955358238189645,0.015888120932567168,0.06325816757356169,0.01912161523698151
108,1,270.0,0.0,False,0.033382844182009666,0.03321120261994135,0.026565065019632825,0.02175763248012951,0.03329702340097551,8.582078103415783e-05
109,1,270.0,30.0,False,0.07428434085190144,0.09352157608828301,0.0795920622200688,0.049703096449859166,0.08390295847009223,0.009618617618190786
110,1,270.0,60.0,False,0.06720388225834933,0.06182548613051115,0.019073125759111395,0.07378626363259569,0.06451468419443024,0.0026891980639190925
111,1,270.0,90.0,False,0.04714616475080037,0.0839150059586722,0.05718954703694365,0.036490093020368014,0.06553058535473628,0.018384420603935914
112,1,270.0,120.0,False,0.1619651933826134,0.2300852017846325,0.08450000936938881,0.03197731558904849,0.19602519758362294,0.03406000420100955
113,1,270.0,150.0,False,0.08241313001852123,0.07965219311917834,0.030683293470853544,0.09678337149719356,0.08103266156884978,0.0013804684496714417
114,1,270.0,180.0,False,0.06236321343912117,0.058787155592344376,0.035545114029636206,0.02471318049595673,0.06057518451573277,0.0017880289233883975
115,1,270.0,210.0,False,0.03094481606572566,0.04383137912757887,0.021785230421496167,0.012225039752505412,0.037388097596652264,0.006443281530926603
116,1,270.0,240.0,False,0.04329934708871916,0.049173415190260444,0.02495199748179884,0.011228483412483822,0.0462363811394898,0.0029370340507706427
117,1,270.0,270.0,True,0.044927761754135875,0.11037240779132351,0.07100678000826624,0.01441597536744539,0.0776500847727297,0.03272232301859382
118,1,270.0,300.0,False,0.04855664943588707,0.05786536006793265,0.014706409774189962,0.01351874464908741,0.05321100475190986,0.00465435531602279
119,1,270.0,330.0,False,0.02983301854548866,0.03075297899086663,0.022193588752457583,0.020334922900427353,0.030292998768177645,0.00045998022268898403
120,1,300.0,0.0,False,0.11505414786278473,0.2060179370487119,0.3077711514671481,0.03630392513893033,0.16053604245574832,0.04548189459296359
121,1,300.0,30.0,False,0.05675231608417065,0.07941235959226661,0.05832653716737076,0.050308466694307045,0.06808233783821863,0.011330021754047983
122,1,300.0,60.0,False,0.08976160031389696,0.11032677127252769,0.03290426695751476,0.022040472335276992,0.10004418579321232,0.010282585479315362
123,1,300.0,90.0,False,0.04947919727926667,0.22241021281265252,0.18594717566241264,0.03202144268681746,0.1359447050459596,0.08646550776669293
124,1,300.0,120.0,False,0.08082671573427615,0.13545828520307943,0.19569235299383192,0.11320342075417342,0.1081425004686778,0.027315784734401636
125,1,300.0,150.0,False,0.09565405913449217,0.04917726698189621,0.05479391023456154,0.028067971583322526,0.07241566305819419,0.02323839607629798
126,1,300.0,180.0,False,0.03123245820762583,0.05679349038213018,0.0568499909026951,0.03926506550118928,0.04401297429487801,0.012780516087252173
127,1,300.0,210.0,False,0.025430153749167704,0.030635698792746684,0.015395669258957594,0.016477392922606818,0.028032926270957194,0.00260277252178949
