trial,centroid_dist,cov_frob,swd,mmd2,hist_corr,teacher_mean_angle_deg,student_mean_angle_deg,mean_angle_abs_diff_deg
0,0.049952223896980286,0.1728111228174039,0.08090568035255251,0.0037987232208251953,0.5914215148280746,145.54013061523438,145.31829833984375,0.221832275390625
1,0.21926185488700867,0.09831932348930227,0.14296072449990987,0.009866595268249512,0.5651529827656738,168.1541290283203,162.2158966064453,5.938232421875
2,0.11872928589582443,0.06384266168832982,0.0787082404508985,0.004888296127319336,0.6456353279510789,-118.47463989257812,-110.94114685058594,7.5334930419921875
3,0.16250336170196533,0.17034438602758262,0.10459303780142692,0.019083857536315918,0.7495983783201623,-89.17591094970703,-84.33942413330078,4.83648681640625
4,0.11146442592144012,0.02366312132000962,0.08033711088673577,0.04617905616760254,0.6487566433222176,-84.66851043701172,-83.16287231445312,1.5056381225585938
5,0.1167740449309349,0.03797864318515005,0.07962823956033752,0.02966177463531494,0.7118959051055552,-83.47042083740234,-81.19407653808594,2.2763442993164062
6,0.05019327253103256,0.10417216331327539,0.07209316645819205,0.014288783073425293,0.6467156514709029,-72.25502014160156,-72.08683776855469,0.168182373046875
7,0.11168725043535233,0.013794978879245304,0.07657758477412961,0.0057724714279174805,0.7912991948713178,-26.05858612060547,-29.023849487304688,2.9652633666992188
8,0.04597777873277664,0.24983379827435565,0.05732898968275031,0.014766216278076172,0.936276514479659,41.25832748413086,40.08572769165039,1.1725997924804688
9,0.056659385561943054,0.3658067850647714,0.08207061554647926,0.020847558975219727,0.8914312048650322,59.60328674316406,58.921669006347656,0.6816177368164062
10,0.08034828305244446,0.10934969555567782,0.06477449715436621,0.004355072975158691,0.9440378713253987,71.34662628173828,72.42224884033203,1.07562255859375
11,0.07304494082927704,0.2894401888429323,0.07453672259173508,0.005650877952575684,0.8749037451094341,83.73310089111328,82.10661315917969,1.6264877319335938
12,0.11276740580797195,0.20114238448927715,0.08179329835260747,0.006303310394287109,0.7914475523880242,94.90750885009766,92.20140838623047,2.7061004638671875
13,0.0999026820063591,0.17921624006452438,0.09304145814119592,0.007063508033752441,0.7351211450959334,76.44275665283203,68.42790985107422,8.014846801757812
14,0.17438310384750366,0.32241631719266434,0.13136427151502336,0.010167241096496582,0.7944796312110624,-65.53199005126953,-62.56584930419922,2.9661407470703125
15,0.05417921766638756,0.14574826392131304,0.057306373334220104,0.0071370601654052734,0.8410688322623836,-70.91360473632812,-71.42901611328125,0.515411376953125
16,0.03272029384970665,0.029368277447252313,0.03444074355524582,0.005672812461853027,0.7336804260935623,-70.34136199951172,-70.25355529785156,0.08780670166015625
17,0.043885838240385056,0.05036701351117459,0.0510013680729864,0.007494330406188965,0.7734568462200809,-70.87846374511719,-70.0731430053711,0.8053207397460938
18,0.1209489032626152,0.22939897273074,0.1320046323268995,0.038304686546325684,0.554551547244864,-59.02805709838867,-55.88701248168945,3.1410446166992188
19,0.38354262709617615,0.051216283234941117,0.24157722761603584,0.09832143783569336,0.7226478421851421,-20.046979904174805,-8.498669624328613,11.548310279846191
20,0.06220449134707451,0.3116740423038263,0.0777719697062412,0.02190983295440674,0.8954079389196804,48.781280517578125,47.18313980102539,1.5981407165527344
21,0.029122963547706604,0.2003044355240822,0.0597269974505904,0.010284423828125,0.861416234051389,58.515872955322266,58.527923583984375,0.012050628662109375
22,0.053324948996305466,0.18315390081239308,0.06313005847948266,0.010380029678344727,0.9166693555417978,68.75139617919922,67.81280517578125,0.9385910034179688
23,0.04320278391242027,0.02925850732604571,0.0453442187042717,0.01867353916168213,0.8341502882802028,73.07684326171875,72.77821350097656,0.2986297607421875
24,0.01827191933989525,0.12044035886588207,0.04498604423462207,0.00552213191986084,0.8652549951081472,77.48126220703125,76.62921905517578,0.8520431518554688
25,0.06266134232282639,0.1523398548713132,0.061166512494878957,0.0014443397521972656,0.8561130753029917,72.48278045654297,70.94219207763672,1.54058837890625
26,0.08262160420417786,0.21598504376886085,0.0759181652532394,0.005614042282104492,0.8344693489952928,-2.4295458793640137,-7.679109573364258,5.249563694000244
27,0.06680964678525925,0.1510185090761827,0.06429941130379797,0.006589293479919434,0.8005165710046859,-36.43473434448242,-39.252628326416016,2.8178939819335938
28,0.10536599159240723,0.0779792347035254,0.07793242234724182,0.0067026615142822266,0.7414981393735965,-41.73920440673828,-43.727352142333984,1.9881477355957031
29,0.07877928018569946,0.1143519360470755,0.06682253214415987,0.005384683609008789,0.7591113209274178,-24.083709716796875,-26.671527862548828,2.587818145751953
30,0.38786599040031433,0.13566869824055697,0.29263011219511037,0.13488376140594482,0.5701314829521646,-11.196249961853027,0.22205506265163422,11.418305024504662
31,0.3591783344745636,0.039106400639635816,0.23567392339574936,0.232743501663208,0.6193388340870201,26.2592830657959,35.376243591308594,9.116960525512695
