model_A,model_B,n_trials,prep_steps,neural_dim,procrustes_auc,procrustes_auc_shared_q,procrustes_distance,centroid_distance_pointcloud,sliced_wasserstein_neural,mmd2_rbf,procrustes_curve_independent,procrustes_curve_shared_q,sliced_wasserstein,sliced_wasserstein_behaviour_mean,sliced_wasserstein_behaviour_median,sliced_wasserstein_behaviour_std,sliced_wasserstein_behaviour_max,behaviour_trials_evaluated,ablation_direction_idx,student_run,num_behaviour_samples
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_0,16,26,16,0.5472770257886161,1.4960385099410947,0.5472770257886161,26.97468045438907,7.985075755791153,0.09040200680995547,"[0.8083096581054068, 0.7188988979578161, 0.6966040009433235, 0.6238579419275324, 0.5646772226866797, 0.5547630550325138, 0.5945858618553799, 0.6034400658137484, 0.6526753035650241, 0.6312237479221722, 0.6244128629562575, 0.5808747460330116, 0.5808042156566163, 0.48674467577510183, 0.42564936245814894, 0.40187745079197584, 0.3680016999356054, 0.33663393733798547, 0.329155982155838, 0.3671420267566134, 0.6576906542396299, 0.623227717245526, 0.6162375232974199, 0.6611546992837939, 0.722225753155969, 0.8049768733352617]","[1.659592224523927, 1.7596294627028033, 1.7444723328817706, 1.710764978935987, 1.7275459028530782, 1.6501250659487705, 1.6020450353410713, 1.6043471246202168, 1.6292089949548962, 1.6485306296817654, 1.6295071832317305, 1.7028053202699656, 1.6231225930924225, 1.5949269223072309, 1.582919999956513, 1.5809323040342735, 1.5546220244546423, 1.5805044937448016, 1.5755614017561346, 1.55870965774907, 1.4046533634815517, 1.3782135884894213, 1.2961323768255915, 1.2195337759156097, 1.1524886349277124, 1.1118039560989188]",3.072540460920173,3.072540460920173,2.0224586209849926,3.702565033624438,16.77799034045129,16,0,index_cued_first_diffusion_0.3_swap_recovery_0,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_1,16,26,16,0.522610897044649,1.4515909669640723,0.522610897044649,27.57463887961032,7.694288345516156,0.07544218949740988,"[0.829242844302747, 0.7453745846090218, 0.6581805470772647, 0.5253568322381886, 0.5064785160306887, 0.587762441509522, 0.559435629287773, 0.5422828410528866, 0.6133389311165593, 0.6314910256217129, 0.6285097774925543, 0.5608213666893429, 0.510566428364416, 0.5035689086203863, 0.4410002143001621, 0.3980574608534047, 0.3499129470391241, 0.3316877898639828, 0.31899650717365935, 0.2891847966068363, 0.6009409698154117, 0.608560961919556, 0.6093039383762305, 0.6104841547187889, 0.6682021554644517, 0.7475243503351492]","[1.4182533256668188, 1.4099379077031147, 1.377456513069657, 1.3229829863059308, 1.3161515039266853, 1.4431909011328516, 1.424871978464651, 1.4610105882068525, 1.5644865910444612, 1.6343530227613088, 1.6740108882432847, 1.7085992019199252, 1.6748646473157094, 1.646404715947526, 1.6074078842914248, 1.6130675547885116, 1.604093966954876, 1.5858112932600736, 1.5855037989089458, 1.5748327458829, 1.6721000790395226, 1.623472211279877, 1.4805162942374734, 1.3128223953090712, 1.1759872919038923, 1.076603032667878]",1.7070440654575596,1.7070440654575596,0.37993713124962325,3.726920929057516,14.115223484663597,16,0,index_cued_first_diffusion_0.3_swap_recovery_1,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_2,16,26,16,0.5667181826413324,0.9815785786606978,0.5667181826413324,28.326139884555346,7.573515853806524,0.0568298314404192,"[0.8018503868433685, 0.8614834797116034, 0.9826522164257511, 0.8078973037644296, 0.7378629335349038, 0.6365914054774849, 0.6510216224055768, 0.6019262460531761, 0.5783431446381665, 0.5417546599612935, 0.5261833064666678, 0.509983826453072, 0.5339158236341489, 0.5155580128205665, 0.48587810194709513, 0.47469959165559933, 0.46550841066286874, 0.4681759898074359, 0.46513818717435707, 0.4600238645407922, 0.5130485948793394, 0.45444283432349286, 0.5062480179788561, 0.5553796917755767, 0.6342589699243611, 0.7315426384726834]","[1.32269547231534, 1.4353955237886666, 1.4791093641999031, 1.3549528901135908, 1.3050628314647015, 1.1276944958080724, 1.0225246108853916, 0.9787903220908825, 0.9485208239503369, 0.9419280131622104, 0.8999787028385633, 0.8692672293153635, 0.8420901118650461, 0.8309902566247143, 0.8150093718638245, 0.8055746086073584, 0.8089737004189129, 0.8057429784618994, 0.8101529428892611, 0.829233199888818, 1.1841767411656239, 1.216027025847766, 1.1231561311218656, 1.0159107961286988, 0.9461517679103637, 0.9265617372172746]",2.9149561928286105,2.9149561928286105,2.0666794333164358,3.7374060073035476,16.802384685893806,16,0,index_cued_first_diffusion_0.3_swap_recovery_2,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_3,16,26,16,0.5783299252250211,1.0563502140258545,0.5783299252250211,32.49630595252244,8.508374793149002,0.10020958432806248,"[0.9002561729300612, 1.1239527727049856, 0.875083699573215, 0.6916023665469734, 0.6307117762229357, 0.6241063353023392, 0.5867123965771738, 0.5466160814090573, 0.5646404647579893, 0.5051990553241732, 0.49421121235597304, 0.5087125521621061, 0.5225297942095088, 0.5789989454097962, 0.5511031715518622, 0.5383393244839885, 0.5512218422213345, 0.532942686155773, 0.5099479412543899, 0.4962715469344531, 0.5636909585128287, 0.5055553851110762, 0.48927240434875074, 0.5706651843635591, 0.6514088004083279, 0.7459065429658913]","[1.5671697134757046, 1.7434354863666173, 1.4790498718420364, 1.3779276690955407, 1.2940330292887534, 1.2105287858644203, 1.086697772520775, 1.054131386802916, 1.009976692165979, 0.9959187192565795, 0.969377741310588, 0.9379796041733232, 0.9128510067306812, 0.9032867585311558, 0.8848799889934287, 0.9211210971974593, 0.9232129924367364, 0.9317373415975775, 0.9575948963491103, 1.0246939426867132, 1.201417384612704, 1.1616677913400357, 1.0916300228295197, 1.0511205197533262, 1.0356745836975962, 1.0431512449815838]",3.0963449494799953,3.0963449494799953,2.0563945038138223,3.6932298324069848,16.756703394414416,16,0,index_cued_first_diffusion_0.3_swap_recovery_3,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_4,16,26,16,0.5346030309526548,1.4519505110664515,0.5346030309526548,27.69313126572339,8.227116659913445,0.11427207059509492,"[0.6839168921571266, 0.5677017142206453, 0.6094874211510525, 0.5781765424975405, 0.5131858335176015, 0.5699172670840936, 0.6146165350431851, 0.6531926504231178, 0.6561790729629556, 0.633763205807081, 0.6110727669198062, 0.5117393993566777, 0.5183589265555651, 0.5210017837445402, 0.49106455187856274, 0.47326797223682715, 0.45310415722595, 0.44599960060367755, 0.3978112086738462, 0.40873472757176904, 0.5495784900688258, 0.5406521300639826, 0.5684209299411374, 0.6142278818781747, 0.6770237383733396, 0.7588837017810126]","[1.4480701951336834, 1.6980149334932735, 1.8656392794452874, 1.7964204758616993, 1.7487590798024462, 1.7055512784030984, 1.7362451473448335, 1.8224449778003724, 1.8130602246793293, 1.7497613120464675, 1.6907676771230693, 1.6778732962533254, 1.56061107049728, 1.4860249137981927, 1.482769801815946, 1.4569035328401128, 1.436477259769887, 1.4359445222923486, 1.4547343788860148, 1.4140536559996908, 1.2704374429986132, 1.2236682337114373, 1.1012906305593735, 0.9969129097565146, 0.9430106721510292, 0.9186029656624974]",2.664771806090487,2.664771806090487,1.4415323054164082,3.4778916120733134,15.137444694737198,16,0,index_cued_first_diffusion_0.3_swap_recovery_4,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_5,16,26,16,0.650989892987521,1.6810772443379578,0.650989892987521,62.677454610502494,16.999350641839904,0.5361091348539804,"[0.772091534738579, 0.708387596179905, 0.7514707616916595, 0.7452305322894897, 0.8596603045234252, 0.8367413054004942, 0.824740744315258, 0.7667619977819167, 0.7090297458281614, 0.6889306313397455, 0.6233626565901287, 0.5833955776680827, 0.5248461121108045, 0.5306944014862854, 0.500557922858714, 0.4689888233297376, 0.46337413849437237, 0.4441907967604448, 0.4457903509065617, 0.44732746708888294, 0.7647370350309012, 0.7968325851596827, 0.8305112013278221, 0.8650099185473485, 0.8945883417386143, 0.9290610037156272]","[1.7268798868039605, 1.9557725561110464, 2.2275600579826977, 2.3142016866527526, 2.460988705891948, 2.39933092560808, 2.301772900556787, 2.154033279582139, 2.0759360894663224, 1.9855972912159874, 1.9256479089381935, 1.8618597203418925, 1.7687176193433007, 1.6944429768564688, 1.7226629234153952, 1.704917727819108, 1.6478596454590932, 1.6352864442994508, 1.60439620367781, 1.5754163112638968, 1.1136210199531376, 1.0768330580456626, 1.0521704227311561, 1.0407619620296369, 1.0331932572597546, 1.023175429766397]",0.8487369986186546,0.8487369986186546,0.18076961218762108,1.7890875994595468,7.380323970333864,16,0,index_cued_first_diffusion_0.3_swap_recovery_5,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_6,16,26,16,0.60142743124402,1.394412539111691,0.60142743124402,32.27877197841769,9.3162815475817,0.12074747029175825,"[0.8620192242307658, 0.9406496501234384, 0.8325091929998758, 0.7241092971337876, 0.6925832762506452, 0.7527317816503393, 0.7744181491748724, 0.7459242803787423, 0.7320524579021849, 0.6320032313473654, 0.5971069530281843, 0.5799144338730335, 0.5251735404770002, 0.5238935322805599, 0.49703890290661507, 0.47035471548274715, 0.4219271897473022, 0.39234991063208735, 0.31706713754674637, 0.34582170553575886, 0.615966651646944, 0.5916192098485527, 0.639897518201994, 0.6951101466163618, 0.7549187174783, 0.8219240359313993]","[1.4273775970955291, 1.5157373132773413, 1.5874664199632709, 1.5532278438349347, 1.5817987408614913, 1.6252247561970128, 1.6122288640987779, 1.5737478036095887, 1.5529952347226414, 1.459882002176726, 1.4832343418999834, 1.539046569261072, 1.4356083371628392, 1.4357561723210772, 1.4576688261202777, 1.464717772873774, 1.4603520539149022, 1.4598038307797898, 1.477312453429784, 1.4310094338224333, 1.377984921275619, 1.338121260001805, 1.268310655571339, 1.1873856279420096, 1.1286695260138704, 1.0674929144476744]",0.4239796625652446,0.4239796625652446,0.06506214643747181,1.3051337266048042,5.46861290865701,16,0,index_cued_first_diffusion_0.3_swap_recovery_6,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_7,16,26,16,0.5406621324597827,1.0882606777358295,0.5406621324597827,29.043506014380828,8.785800902700768,0.08654296571467879,"[0.7283888609040731, 0.6056306321879931, 0.5941478636587642, 0.5980342316035383, 0.5876140408325111, 0.5803966465295195, 0.6647156167473323, 0.6961915435370432, 0.7023688400849409, 0.6462447295822026, 0.5808086135762479, 0.5618931680788726, 0.5507621058767049, 0.5101047664318185, 0.48034769570283076, 0.46641011128152526, 0.44686060440275976, 0.43380256546185697, 0.4035266666635598, 0.4324189621404547, 0.4519196209516367, 0.4740952434348948, 0.508484266867123, 0.6098044685721539, 0.7051315549140125, 0.8026129087640317]","[1.354388735422493, 1.2713364321067757, 1.1808373803066399, 1.1843442428802375, 1.129153449514426, 1.2556066887855815, 1.3030915103060934, 1.2560471986042492, 1.2147881842646526, 1.1929251236514904, 1.155774750205995, 1.1445331660259868, 1.1290159192357012, 1.0964346811512726, 1.0655971426979496, 1.0659287189478988, 1.0220864985437637, 1.0597295982677406, 1.0683864540654795, 1.078773476810409, 1.202472837570994, 1.1631278079618075, 1.0458884103136306, 0.9571070468049551, 0.920529596567742, 0.9081338756577046]",2.675668840598768,2.675668840598768,1.4639793878914389,3.473910501776917,15.106643268434253,16,0,index_cued_first_diffusion_0.3_swap_recovery_7,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_8,16,26,16,0.5276675368108465,1.2393108779803548,0.5276675368108465,26.87014370153861,7.752155454418192,0.07766130822390516,"[0.8968332104996952, 0.7340845594148306, 0.7203372105291229, 0.6553753510606039, 0.5651791133412546, 0.5773172824355974, 0.5497898754374886, 0.5863148988304026, 0.5787287776969776, 0.5528631961690317, 0.5083122196421218, 0.4885117883457955, 0.4833060933924435, 0.468170014259556, 0.47259773679096534, 0.41521965645519227, 0.38897271816764784, 0.34284243618599314, 0.3031981687153879, 0.2992491827926665, 0.5589672903480389, 0.5785212592239027, 0.6386591455338936, 0.6856380589770241, 0.7272837938036242, 0.7829990485651976]","[1.5927604953337025, 1.5991469743016609, 1.6253348950218787, 1.578673557900601, 1.450768301317383, 1.533945194517258, 1.553324712652544, 1.4250734723579717, 1.3644562649342924, 1.2847267422971438, 1.261239759960511, 1.1925593453452292, 1.1245723689855218, 1.1085646082903775, 1.0990955014039447, 1.1257167787960412, 1.1690916073890103, 1.1640109777195575, 1.181628833040383, 1.196788073122419, 1.3476489548746777, 1.2778588437088088, 1.162440063068174, 1.0785256003353687, 1.026411434084735, 0.9881994287937566]",3.0418451101147608,3.0418451101147608,2.0055193792406065,3.7242376601854144,16.798110780703606,16,0,index_cued_first_diffusion_0.3_swap_recovery_8,512
index_cued_first_diffusion_0.3_swap_7_ablated_dir_00,index_cued_first_diffusion_0.3_swap_recovery_9,16,26,16,0.5060748872390857,1.33699927206248,0.5060748872390857,42.78584374861734,12.08773409418707,0.17069309447197012,"[0.7418567226641599, 0.7116232967246886, 0.6199479461402332, 0.5688122047561488, 0.4752351652439273, 0.5176535002380868, 0.5136624944781975, 0.49050722372930317, 0.4680773057672423, 0.5106409275350927, 0.5211226392228442, 0.5519864594135161, 0.5446278612917647, 0.5168048493167077, 0.4170861306578163, 0.34714895003763474, 0.33031318390382897, 0.3211421409596789, 0.3597169357681065, 0.4391536829214493, 0.5339492625536743, 0.5491788281695056, 0.6167387109839133, 0.6941231804166833, 0.7558071883864073, 0.823917276535388]","[1.5483024405346422, 1.7180234130622065, 1.83246946119238, 1.8706322749190254, 1.845027653304896, 1.7836465620513622, 1.7190333452068216, 1.5302090800659878, 1.422079373446993, 1.309549835578366, 1.2321433887664148, 1.1882806606516028, 1.145600050925312, 1.1447394566202413, 1.2199681484123208, 1.2808039433156637, 1.3552732807251235, 1.4080891995185338, 1.4658369191972676, 1.5196379159129465, 1.1895887977409147, 1.15960835760429, 1.0932903432291723, 1.0429435277545789, 1.0155994249704317, 0.9915108783686081]",2.55384012831324,2.55384012831324,1.374070985242518,3.6616759242412305,16.201763316994928,16,0,index_cued_first_diffusion_0.3_swap_recovery_9,512
