trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_3_vs_Student_0,sw_self_reference
0,1,0.0,0.0,True,11.10317366819551,0.016703942233219162
1,1,0.0,30.0,False,3.8065924566536995,0.029214767014883763
2,1,0.0,60.0,False,0.8019538675960418,0.035366880204745765
3,1,0.0,90.0,False,0.473968396298296,0.03343480354190666
4,1,0.0,120.0,False,0.23198823028532362,0.030148735842348506
5,1,0.0,150.0,False,0.3608714983858997,0.038328615600015464
6,1,0.0,180.0,False,0.397822790514243,0.09533076229013183
7,1,0.0,210.0,False,0.7359474222981419,0.13592554026637946
8,1,0.0,240.0,False,0.4635721135536064,0.041710772592510645
9,1,0.0,270.0,False,0.3252186394158332,0.09728784633478724
10,1,0.0,300.0,False,0.154678935420024,0.025152100673427692
11,1,0.0,330.0,False,0.5035401202961358,0.025011022490826457
12,1,30.0,0.0,False,1.4093435880602219,0.04892721693110124
13,1,30.0,30.0,True,0.5144422410516678,0.10827038866293286
14,1,30.0,60.0,False,0.6238869563778866,0.03674874958802803
15,1,30.0,90.0,False,0.27971827663242954,0.0840462031829296
16,1,30.0,120.0,False,0.7054393853865246,0.078056744916945
17,1,30.0,150.0,False,0.5033225866466926,0.07730464449720692
18,1,30.0,180.0,False,0.19979942124565367,0.03417244065621492
19,1,30.0,210.0,False,0.24034277396394546,0.12217899960927911
20,1,30.0,240.0,False,0.45337234064039256,0.23268795247557178
21,1,30.0,270.0,False,0.1945098235758303,0.05129568162924
22,1,30.0,300.0,False,0.21760731361010863,0.051203710637024405
23,1,30.0,330.0,False,0.24905567148299768,0.01786793100440353
24,1,60.0,0.0,False,0.3611968771176989,0.11576126439364617
25,1,60.0,30.0,False,0.4126417807937527,0.04098939280703278
26,1,60.0,60.0,True,0.40233913770868435,0.06400464420943798
27,1,60.0,90.0,False,0.618040263651481,0.04784415852013457
28,1,60.0,120.0,False,0.5653428835493195,0.09068682878574606
29,1,60.0,150.0,False,0.4187146655773424,0.026763814891806775
30,1,60.0,180.0,False,0.39270825420408967,0.051684661281684634
31,1,60.0,210.0,False,0.17787494273841578,0.04941002626790013
32,1,60.0,240.0,False,0.2418626582548992,0.12243005035029855
33,1,60.0,270.0,False,0.13493111888906634,0.09469090185977576
34,1,60.0,300.0,False,0.14881269380052647,0.049611586093182836
35,1,60.0,330.0,False,0.15445534410402875,0.06933336953637301
36,1,90.0,0.0,False,0.4368003905261345,0.03304081197004459
37,1,90.0,30.0,False,0.3100019713475002,0.022558840777055833
38,1,90.0,60.0,False,0.16769102133466118,0.0698171482168857
39,1,90.0,90.0,True,0.36621459782415927,0.04909804418290071
40,1,90.0,120.0,False,0.18914796808179446,0.04911877682726251
41,1,90.0,150.0,False,0.14787800290036085,0.028184021145800653
42,1,90.0,180.0,False,0.20744681283020777,0.05792831158107635
43,1,90.0,210.0,False,0.29083047291540437,0.07360555990457747
44,1,90.0,240.0,False,0.28299609327249087,0.1058015386972957
45,1,90.0,270.0,False,0.6594277556308878,0.13862566936138468
46,1,90.0,300.0,False,0.5247165587543474,0.0338944569759978
47,1,90.0,330.0,False,0.574835842125679,0.14912290429713881
48,1,120.0,0.0,False,0.1336277561753535,0.08792446724824407
49,1,120.0,30.0,False,0.13339778745841674,0.016311548806919828
50,1,120.0,60.0,False,0.11568838513052797,0.03299263429265973
51,1,120.0,90.0,False,0.1587237730739333,0.025477023816625977
52,1,120.0,120.0,True,0.16401062824630058,0.023771876504539373
53,1,120.0,150.0,False,0.19442505059773557,0.07546614849994049
54,1,120.0,180.0,False,0.1368198769024086,0.05417451627163995
