trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_PCA_dir0,sw_Healthy_vs_PCA_dir1,sw_Healthy_vs_PCA_dir13,sw_Healthy_vs_PCA_dir0-1,sw_PCA_dir0_vs_PCA_dir1,sw_PCA_dir0_vs_PCA_dir13,sw_PCA_dir0_vs_PCA_dir0-1,sw_PCA_dir1_vs_PCA_dir13,sw_PCA_dir1_vs_PCA_dir0-1,sw_PCA_dir13_vs_PCA_dir0-1,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,0.624127478956404,0.34308805989910374,0.9459437768961324,0.8903075714013982,0.7452680418810895,0.9234427343783242,0.6000513682483417,0.6495569436526545,0.7728027216855302,0.6422053882373675,0.02039400957687787,0.7008667217882596,0.2397108053134529
1,1,0.0,30.0,False,0.9508975430240163,0.1985805108024217,1.0336721714958652,1.117415065257882,0.7746506961663203,1.03675711882379,0.4360999459413417,0.9538831595010077,0.9294720301927113,0.8953602463820105,0.021712290239575424,0.8251413226450464,0.36650447931923363
2,1,0.0,60.0,False,1.104639908510824,0.44722499860421766,1.5546269394975762,1.2073163805729328,0.9205830091267104,1.2554544393507947,0.23179214452353858,1.4212535491599927,1.0035844447488087,1.0923868771543348,0.02584145274188538,1.0784520567963876,0.4007748543226095
3,1,0.0,90.0,False,1.3741173596155907,0.7691185548192678,1.2176840486345357,1.3451817653333014,1.441136058827297,1.0600805693919904,0.3312096849706322,1.2882329814047724,1.2715803267977943,1.1362346428623882,0.028639800192009436,1.1765254321006737,0.24246748438177404
4,1,0.0,120.0,False,1.5501561149796805,0.5842517534070071,0.36887837015607494,1.5373983445527857,1.6293223278276225,1.3714339641126614,0.5090785980182646,0.7724447740372012,1.4799943760891157,1.416824541751743,0.06339778587347594,1.0101711457738871,0.5390306204090348
5,1,0.0,150.0,False,1.729024806870112,0.14036253736107746,0.37978271006204667,1.6358639923228893,1.6983010592939738,1.6149287007969821,0.6500228561344561,0.40162103808064026,1.5960617665993175,1.6774385214135565,0.020894361060142027,0.9712585116540313,0.7169626815716607
6,1,0.0,180.0,False,1.9495940193232189,0.6197447471241101,0.9391393863395265,1.7291594895206792,1.6214732670058352,1.9919627337059713,0.6351286650315646,0.9114025784909237,1.3489607473071037,2.1866115256401746,0.04730024415729188,1.3094094105768836,0.547440339423663
7,1,0.0,210.0,False,1.3702051136511213,1.071372313687554,1.1263005655333964,1.7832280305404504,1.1348712484330874,1.6900112872989197,1.1538361345603023,1.626586264745915,1.1137612524431115,2.502658510665565,0.031004086755392943,1.3377765058531306,0.2807008827860553
8,1,0.0,240.0,False,0.36586721552996454,1.4550952964297503,0.6775342969316696,1.7725470161942585,1.2985046119332204,0.4957942337480934,1.5665180707972375,1.1844100863312885,0.6870872362624941,1.5754207064691064,0.10262531826050364,1.0677609562714108,0.5682611526135988
9,1,0.0,270.0,False,0.2661178598874432,1.2429412050324355,0.6378350737685345,1.3352954832653507,1.3742236882063394,0.8060745257575606,1.4769797864814487,0.6334390306273541,0.3032399725332256,0.7461794223221906,0.039868417112238236,0.870547405488441,0.4399312510683032
10,1,0.0,300.0,False,0.23177635020747733,0.7384762081280859,0.5483093625695958,0.875884346359333,0.8965392461797764,0.7269965177798801,1.0376758080434048,0.2623751048308093,0.2885251465265156,0.35104075274203306,0.027601539019647105,0.598611566816123,0.24163024441350098
11,1,0.0,330.0,False,0.34209433403017475,0.3985676456967663,0.7568137227154745,0.811900935693052,0.6539859517735394,0.7775666423755871,0.7815207788995889,0.44844296552761587,0.5208114754036453,0.2338980576827996,0.040223839549100866,0.5773441595338669,0.20888377608735662
12,1,30.0,0.0,False,0.6760859313974072,0.23476189716868873,1.2305229706616054,0.9975207273369955,0.6754482772181913,1.267721697684215,0.5389139947749414,1.042089729277229,0.9285564585156166,1.1247967118095124,0.02255406462322366,0.7847228816411742,0.3735905893834918
13,1,30.0,30.0,True,0.7344229083167484,0.2472793335158834,1.6762336983635913,1.1615137598047665,0.5117108854052693,1.2908890017759511,0.5742642649679495,1.4710330074483076,0.9165889481461873,1.0536302079748676,0.030975485498434912,0.9548624250002474,0.5273397150036602
14,1,30.0,60.0,False,1.030975688508648,0.21011753533403085,1.6931897962889217,1.2627562118421949,0.869028595201626,1.2100282301098548,0.26969810086438484,1.5218509104600102,1.1022733612519258,0.9979055149072844,0.017934941946455975,1.0492598079934488,0.539611111605363
15,1,30.0,90.0,False,1.4355888451139625,0.2690865564935072,0.9357244081020186,1.3982703032785961,1.4567588618371277,1.0275689374455084,0.15971445306809245,0.9206604708806045,1.3993641760652877,1.0056547251322598,0.03213479871090906,1.009667528247021,0.47073050826987717
16,1,30.0,120.0,False,1.6539595767860569,0.09973758658521435,0.17606557485270513,1.5838711958179863,1.6281415490214532,1.5727874393271752,0.3568461558534394,0.18394049717152539,1.5444463126624537,1.5174097727806204,0.02142849896492204,0.8784084835104906,0.741412682619718
17,1,30.0,150.0,False,1.558252366917181,0.4217746983894625,0.3404036578185181,1.7463979346263088,1.6548156638339337,1.6236773169777656,0.5353029868747468,0.10976455068870955,1.8371726466260787,1.7923954469759402,0.08392715515739811,1.0167071644378676,0.6397364493779111
18,1,30.0,180.0,False,1.6584762694737827,0.8476828971455448,0.7424577529125407,1.9195737956908678,1.5244955433444702,1.5838325323485822,1.0269257579910331,0.44051011244824057,1.5414008228921565,1.5990246059905364,0.11092704096898917,1.292047678805684,0.5068451650294941
19,1,30.0,210.0,False,0.6889205996879127,1.589206461823013,0.9781408735450285,1.720788981237686,1.5456206187923778,0.8521452821867568,1.3684829002210976,1.1748280718925779,0.8627308591718077,0.9804924842848977,0.024666427304068386,1.24426422907341,0.42581955404145305
20,1,30.0,240.0,False,0.31619602631303334,1.7502247423010129,0.8138046720038679,1.8879692460938824,1.7477741438592274,0.947034442110638,1.8838231625493067,1.1382182925220554,0.3625968366796803,1.204959670235815,0.12183196143147684,1.192048671677949,0.6530796948676657
21,1,30.0,270.0,False,0.29437191241371496,1.3869033247953553,0.6388786678372206,1.4888557540639915,1.480948701683186,0.822352770485709,1.5982197208253521,0.905751496152535,0.20633967038805812,0.9490655773030341,0.021766366127840317,0.9522524147775706,0.5019647442735843
22,1,30.0,300.0,False,0.5029885061018723,0.48249556653740233,0.9788707359485566,0.5478850641936962,0.7178305351415127,1.3852398955932805,0.8044562719205688,0.921214760838537,0.26511094694741816,0.8833963977319802,0.2032132651688963,0.6280599681953818,0.2039166960204002
23,1,30.0,330.0,False,0.5703598633116261,0.14096846490769482,1.1826321439965144,0.6454398176648719,0.6434268989619099,1.4551772215249372,0.547788857230287,1.1114356912885652,0.6807921228843608,1.176497496840807,0.050259662943898255,0.6348500724701769,0.37022134256238837
24,1,60.0,0.0,False,0.637973127330939,0.18824598086347294,1.5688660611194107,0.7997973469381172,0.6984327140759875,1.3193981229406089,0.3134204461494037,1.5869895904654756,0.8401734973976941,1.0856257508355223,0.022791150966456532,0.7987206290629849,0.49790666827382757
25,1,60.0,30.0,False,0.7647584630931816,0.12402914341395446,1.4979675191484447,1.0249945366867954,0.6764361225649058,1.2682573447729597,0.36608793311944027,1.4009688909085694,0.9445613774832913,1.1052813229923553,0.04035348267734455,0.8529374155855941,0.49617292457540435
26,1,60.0,60.0,True,1.2229482315419726,0.15968252466402924,0.9749268154178878,1.4624254329741424,1.1025897598934864,1.1667921026931372,0.2977703617238966,0.8235411375304815,1.3347442048880966,1.0818944927441794,0.02285971179595786,0.954995751149508,0.4904599344724135
27,1,60.0,90.0,False,1.5874152641932322,0.1423410007486753,0.6315267533256402,1.602185540050995,1.472036410254674,1.405468091801704,0.34147880388722124,0.5008322663713989,1.4701722918744717,1.2403577756028783,0.05505552195020752,0.9908671395796357,0.6282320377868772
28,1,60.0,120.0,False,1.4069159748262152,0.15776704636753786,0.3148717654878592,1.7387696278957367,1.4334836563380005,1.2102535647830641,0.567804599767947,0.38700173660217513,1.7205264132139142,1.5001080784255427,0.025741017768503544,0.9045811036443372,0.6807531043728754
29,1,60.0,150.0,False,1.2042872880411464,0.4518817547233758,0.3924091507965798,1.709858087201026,1.2243091856154669,1.088006951242278,0.7957125590761253,0.3283624481970018,1.6269622921998996,1.4351793654461678,0.04271865949609116,0.939609070190532,0.5478694628394059
30,1,60.0,180.0,False,0.807806698455488,1.4884467026021837,0.8145252230210083,1.6600994073490705,1.5498139595566327,1.1303536691591278,1.432917036001545,1.0195519106354023,1.0209074128845197,0.9227772494127565,0.11664259563249137,1.1927195078569377,0.3863571314486914
31,1,60.0,210.0,False,0.4743818760081102,1.7499435822444345,1.1880670549795838,1.7538587102398913,1.7106933440038088,1.2076144665223176,1.670113115561748,1.5118154491325893,0.5874069605719227,1.1624950761227808,0.02913318380203097,1.2915628058680049,0.5249586845479173
32,1,60.0,240.0,False,0.24151625753225128,1.1182359153021095,0.6035127334697548,1.4989974199740503,0.9273851967925127,0.47478045921947154,1.2924688665417698,0.9171246640461093,0.5710960722381606,1.1080703457663814,0.023378643334393677,0.8655655815695416,0.4804132193959831
33,1,60.0,270.0,False,0.3944134778158017,0.6114606397422654,0.6744529749506714,0.6352289717081303,0.7297879974057804,0.9978793412409213,0.8749610755114308,0.9924835423211052,0.26061549848107396,0.8714346848300115,0.1169199619779834,0.5788890160542173,0.10885632241753002
