trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_4_vs_Student_0,sw_self_reference
0,1,0.0,0.0,True,0.32665916971135267,0.044025026439978424
1,1,0.0,30.0,False,0.23130857210153474,0.03224105428225989
2,1,0.0,60.0,False,0.32240581505556676,0.2314480385549208
3,1,0.0,90.0,False,0.10619416209385192,0.04132274424817801
4,1,0.0,120.0,False,0.10592969593240603,0.06308436663299405
5,1,0.0,150.0,False,0.12055310299440396,0.04007780804183769
6,1,0.0,180.0,False,0.08425499050487016,0.05997187670876718
7,1,0.0,210.0,False,0.06865824595407222,0.07909026786239022
8,1,0.0,240.0,False,0.05616863888530681,0.030980432846755362
9,1,0.0,270.0,False,0.06554630512226098,0.023258780896183308
10,1,0.0,300.0,False,0.06290744767787813,0.020857171733199002
11,1,0.0,330.0,False,0.07474432344224805,0.024619761574451254
12,1,30.0,0.0,False,0.6975478194569018,0.4330557183665684
13,1,30.0,30.0,True,0.18810359341531863,0.9138635690278558
14,1,30.0,60.0,False,0.10860258365142088,0.10075029780003998
15,1,30.0,90.0,False,0.1523433648489011,0.055714349399068455
16,1,30.0,120.0,False,0.14684621122373284,0.05064988456386901
17,1,30.0,150.0,False,0.12252114289578532,0.07559093357342589
18,1,30.0,180.0,False,0.06853800917435598,0.06983887895597915
19,1,30.0,210.0,False,0.07275028082863967,0.03696115335050372
20,1,30.0,240.0,False,0.05006847520170294,0.02137812846810186
21,1,30.0,270.0,False,0.04445338600910281,0.025897744598593966
22,1,30.0,300.0,False,0.03895205651144331,0.044724629780192975
23,1,30.0,330.0,False,0.05147937498686085,0.028826969108634647
24,1,60.0,0.0,False,1.362295552958698,0.8614590697674254
25,1,60.0,30.0,False,1.2664327327887581,0.4434576700882348
26,1,60.0,60.0,True,0.25460721525043095,0.03309832307377515
27,1,60.0,90.0,False,0.4139859504375352,0.06360587821169442
28,1,60.0,120.0,False,0.06012322118474714,0.07187400049150669
29,1,60.0,150.0,False,0.1733482761517754,0.05589841003374602
30,1,60.0,180.0,False,0.13530162598358947,0.08365788648804168
31,1,60.0,210.0,False,0.060000700612243524,0.05846119427090876
32,1,60.0,240.0,False,0.060883508352044716,0.01880124013098739
33,1,60.0,270.0,False,0.042865636339344315,0.014484235589373104
34,1,60.0,300.0,False,0.08835124562481159,0.019297569528789315
35,1,60.0,330.0,False,0.1055038069145425,0.18324970890132664
36,1,90.0,0.0,False,0.14332312197847252,0.05329890521017861
37,1,90.0,30.0,False,0.5800074879646695,1.1656221983171178
38,1,90.0,60.0,False,0.4061458509524773,0.03592663365782521
39,1,90.0,90.0,True,0.2611345204976663,0.10205249454929194
40,1,90.0,120.0,False,0.22427081004647922,0.06401810944320308
41,1,90.0,150.0,False,0.07762203301494239,0.0761073306209063
42,1,90.0,180.0,False,0.1138010079749856,0.0811639423634474
43,1,90.0,210.0,False,0.22344284967731537,0.10931241873781472
44,1,90.0,240.0,False,0.07490897518211881,0.07840535204716689
45,1,90.0,270.0,False,0.05728726659627095,0.07911202791471089
46,1,90.0,300.0,False,0.1583309328201851,0.03028569876450829
47,1,90.0,330.0,False,0.04717721582541437,0.030753680956952373
48,1,120.0,0.0,False,0.05169918359161802,0.033907606982174446
49,1,120.0,30.0,False,0.2363342037054592,0.041469378923235316
50,1,120.0,60.0,False,0.04551528726288554,0.041882824651227606
51,1,120.0,90.0,False,0.14516174248023797,0.0688367353168563
52,1,120.0,120.0,True,0.31097641642272056,0.06116678396440643
53,1,120.0,150.0,False,0.08744209161441807,0.05871521921422573
54,1,120.0,180.0,False,0.2091412470650839,0.07820044322215322
55,1,120.0,210.0,False,0.15280586308996225,0.06732575340876651
56,1,120.0,240.0,False,0.13873456400464584,0.1338537080987329
57,1,120.0,270.0,False,0.058759507080865296,0.08867859363088994
58,1,120.0,300.0,False,0.08130005669460227,0.06206893867301886
59,1,120.0,330.0,False,0.12695967175103495,0.023127545205994707
60,1,150.0,0.0,False,0.14401462357629624,0.12587698680748702
61,1,150.0,30.0,False,0.09654711083835621,0.04602045523859552
62,1,150.0,60.0,False,0.15653022325581595,0.054997338957569586
63,1,150.0,90.0,False,0.07106989861327409,0.08814465692558769
64,1,150.0,120.0,False,0.12752660171115737,0.0488802588706936
65,1,150.0,150.0,True,0.22013279652538292,0.11170853434318637
66,1,150.0,180.0,False,0.29243747460261293,0.06545235885814762
67,1,150.0,210.0,False,0.06506392180519743,0.09102379625165946
68,1,150.0,240.0,False,0.11379014402157005,0.17435926542465
69,1,150.0,270.0,False,0.1453106792595187,0.08152985683282807
70,1,150.0,300.0,False,0.06331170769312819,0.09054301176912449
71,1,150.0,330.0,False,0.11526070520245775,0.05056516124034945
72,1,180.0,0.0,False,0.09377701035991923,0.05740550245469328
73,1,180.0,30.0,False,0.30021161641875727,0.05752451077428779
74,1,180.0,60.0,False,0.13002549720658624,0.11163409209776631
75,1,180.0,90.0,False,0.13649922770472245,0.06122072410143274
76,1,180.0,120.0,False,0.07802343238793252,0.04258840021770251
77,1,180.0,150.0,False,0.34785829896135945,0.09125086345532737
78,1,180.0,180.0,True,0.3983258785879098,0.04807145028854286
79,1,180.0,210.0,False,0.31848817429032317,0.06995055647975836
80,1,180.0,240.0,False,0.12353009187657782,0.04691660399699663
81,1,180.0,270.0,False,0.20705939561856368,0.031464911805471125
82,1,180.0,300.0,False,0.09072186686668376,0.16310562210263052
83,1,180.0,330.0,False,0.05489384297573685,0.053023519442938316
84,1,210.0,0.0,False,0.13348741209070808,0.07201266815239457
85,1,210.0,30.0,False,0.09743749529395979,0.03134287738140264
86,1,210.0,60.0,False,0.0524078568522134,0.05634490154975642
87,1,210.0,90.0,False,0.10324916454322808,0.09248812791124
88,1,210.0,120.0,False,0.07219418795288506,0.04537147650969716
89,1,210.0,150.0,False,0.08915054800043999,0.07129192254949379
90,1,210.0,180.0,False,0.2872227974489445,0.16518370030973906
91,1,210.0,210.0,True,0.6006544656304439,0.11052732811046412
92,1,210.0,240.0,False,0.22585540037948962,0.09773934177006528
93,1,210.0,270.0,False,0.09167547028283304,0.04852446409951365
94,1,210.0,300.0,False,0.1727993495593546,0.11638579907830433
95,1,210.0,330.0,False,0.2120975316956238,0.06881416393377704
96,1,240.0,0.0,False,0.03857063968237109,0.027782146575547027
97,1,240.0,30.0,False,0.05308580969520027,0.014886360702823705
98,1,240.0,60.0,False,0.054320681087372875,0.019911207653386467
99,1,240.0,90.0,False,0.05844464002806734,0.02890964511555316
100,1,240.0,120.0,False,0.03965503780462927,0.03905922265961635
101,1,240.0,150.0,False,0.08618278297457233,0.20309890193488472
102,1,240.0,180.0,False,0.10433197395345975,0.16989783999412056
103,1,240.0,210.0,False,0.18972394104472384,0.0407792095998998
104,1,240.0,240.0,True,0.10072986109849151,0.05299667799670431
105,1,240.0,270.0,False,0.0671042084413428,0.054840952649407124
106,1,240.0,300.0,False,0.19131737816258,0.052313527011618295
107,1,240.0,330.0,False,0.15089218165809626,0.0582246108645999
108,1,270.0,0.0,False,0.04290113659561508,0.011016196644670354
109,1,270.0,30.0,False,0.04687013232625838,0.029963690633875717
110,1,270.0,60.0,False,0.03334718614374503,0.025217088995470087
111,1,270.0,90.0,False,0.03455471496795412,0.10596998228626131
112,1,270.0,120.0,False,0.045939844009784514,0.03371898036976005
113,1,270.0,150.0,False,0.1379534911688856,0.11129915372983945
114,1,270.0,180.0,False,0.1416416405658844,0.02169632312584034
115,1,270.0,210.0,False,0.04305153721552517,0.04388521473475841
116,1,270.0,240.0,False,0.06393844475719782,0.04159576580216723
117,1,270.0,270.0,True,0.1195349204875519,0.03991295411050738
118,1,270.0,300.0,False,0.09888553462485783,0.030925796279014227
119,1,270.0,330.0,False,0.04529339532341641,0.014667286923607525
120,1,300.0,0.0,False,0.10191848523569441,0.019941480443498163
121,1,300.0,30.0,False,0.07195493023165672,0.030241440834556994
122,1,300.0,60.0,False,0.03738026715137241,0.14051627758967378
123,1,300.0,90.0,False,0.057534165735388776,0.05490574661211914
124,1,300.0,120.0,False,0.14444930207236983,0.02818063323540714
125,1,300.0,150.0,False,0.1587087016001688,0.04813154858572545
126,1,300.0,180.0,False,0.06289650748453571,0.043130434264205486
127,1,300.0,210.0,False,0.15013061129369853,0.06538263546023595
128,1,300.0,240.0,False,0.12114475037755605,0.09916637755502561
129,1,300.0,270.0,False,0.0797177360870889,0.01727085051842961
130,1,300.0,300.0,True,0.04972540768394973,0.014600409028030727
131,1,300.0,330.0,False,0.0866902002013996,0.013678748176583218
132,1,330.0,0.0,False,0.08647778539270363,0.017369521271505574
133,1,330.0,30.0,False,0.0644504166038658,0.01257781392302266
134,1,330.0,60.0,False,0.6895315635356825,0.7796618420314978
135,1,330.0,90.0,False,0.05759110533598478,0.06667638287361222
136,1,330.0,120.0,False,0.28357455056738623,0.09614730009176006
137,1,330.0,150.0,False,0.2683390389844318,0.07807458397447017
138,1,330.0,180.0,False,0.10744850447649484,0.10632453401661637
139,1,330.0,210.0,False,0.06734359882671317,0.045077530008270784
140,1,330.0,240.0,False,0.07749851759362636,0.03543163718179517
141,1,330.0,270.0,False,0.05142301389281144,0.01976508458578101
142,1,330.0,300.0,False,0.084742200202749,0.014515121557097797
143,1,330.0,330.0,True,0.0646360344378717,0.015088839694678457
144,2,0.0,0.0,True,0.3512203369610371,0.020022574385643137
145,2,0.0,30.0,False,0.05802029808671108,0.021820549605606462
146,2,0.0,60.0,False,0.10270570536287288,0.04493162853608107
147,2,0.0,90.0,False,0.11699721158130885,0.04987110102704506
148,2,0.0,120.0,False,0.14477880851765915,0.05227916353973845
149,2,0.0,150.0,False,0.2741221050502629,0.05637532159743229
150,2,0.0,180.0,False,0.07383127676296886,0.05016427218256393
151,2,0.0,210.0,False,0.10110650171432001,0.05154399204278759
152,2,0.0,240.0,False,0.08936798528279483,0.031525802549837625
153,2,0.0,270.0,False,0.06032640639429902,0.02231429653817052
154,2,0.0,300.0,False,0.0644113834958856,0.008392790228597843
155,2,0.0,330.0,False,0.08719225267201797,0.010155058386845293
156,2,30.0,0.0,False,0.13933111142734023,0.02362365863637963
157,2,30.0,30.0,True,0.14651321954724733,0.031013934309972215
158,2,30.0,60.0,False,0.060797796922759766,0.05033594234031008
159,2,30.0,90.0,False,0.06861600439800415,0.04856263487809955
160,2,30.0,120.0,False,0.19326939882670818,0.051111651562739974
161,2,30.0,150.0,False,0.22047793416621866,0.11287344895521494
162,2,30.0,180.0,False,0.12096106621154294,0.12862593785779766
163,2,30.0,210.0,False,0.10892717930778649,0.05936768223109445
164,2,30.0,240.0,False,0.05327760646930206,0.022170326227434346
165,2,30.0,270.0,False,0.03454965270474865,0.011683572770642262
166,2,30.0,300.0,False,0.020535989337690783,0.01034382836371244
167,2,30.0,330.0,False,0.036129274028386366,0.011895185831630465
168,2,60.0,0.0,False,0.06363250088087416,0.04482582126223164
169,2,60.0,30.0,False,0.10038438788103436,0.0353454212314136
170,2,60.0,60.0,True,0.16909954342753075,0.04040980460775577
171,2,60.0,90.0,False,0.4595444804935953,0.048985176677099285
172,2,60.0,120.0,False,0.13763346617204683,0.04569474268168607
173,2,60.0,150.0,False,0.09689597830931995,0.05234106561115764
174,2,60.0,180.0,False,0.040462907546381016,0.09242509431442131
175,2,60.0,210.0,False,0.07730823539239849,0.05207632930598083
176,2,60.0,240.0,False,0.050632069269240465,0.05234994938878057
177,2,60.0,270.0,False,0.032863165787620635,0.01996159982094707
178,2,60.0,300.0,False,0.034923788905921654,0.03445651011225452
179,2,60.0,330.0,False,0.08052731325420542,0.02291296481393193
180,2,90.0,0.0,False,0.2409900426567284,0.12267252646554258
181,2,90.0,30.0,False,0.06564840668584215,0.05610983898592481
182,2,90.0,60.0,False,0.12131842084984581,0.03603470334162166
183,2,90.0,90.0,True,0.18426996289172992,0.05735031959195125
184,2,90.0,120.0,False,0.0898705370889948,0.04649912690925634
185,2,90.0,150.0,False,0.15170465745300382,0.057230040898479585
186,2,90.0,180.0,False,0.0647654358749361,0.09084198990759504
187,2,90.0,210.0,False,0.2671365434155758,0.06084053670112789
188,2,90.0,240.0,False,0.05607359941809059,0.03766827207561526
189,2,90.0,270.0,False,0.05785691555865479,0.03540333657860731
190,2,90.0,300.0,False,0.05238730295140216,0.02160665559259525
191,2,90.0,330.0,False,0.08014007067941917,0.17910804960799637
192,2,120.0,0.0,False,0.11923163696035985,0.08348232938224154
193,2,120.0,30.0,False,0.13341925656077475,0.07939557990157511
194,2,120.0,60.0,False,0.10586896803026381,0.042491239665811906
195,2,120.0,90.0,False,0.3755312267616019,0.08361081781532642
196,2,120.0,120.0,True,0.2230639211276388,0.0906246498603828
197,2,120.0,150.0,False,0.08425654451988017,0.05609326161366536
198,2,120.0,180.0,False,0.19462327322434306,0.06752682448490299
199,2,120.0,210.0,False,0.14215895801616918,0.0959018340929096
200,2,120.0,240.0,False,0.11857893557967297,0.05197167185773957
201,2,120.0,270.0,False,0.06034983712473709,0.05419985622713047
202,2,120.0,300.0,False,0.23780576920717783,0.09517493350709116
203,2,120.0,330.0,False,0.1297884977499819,0.07016002008211303
204,2,150.0,0.0,False,0.1455114863775744,0.08501554772823866
205,2,150.0,30.0,False,0.14875054445294758,0.061188653122953664
206,2,150.0,60.0,False,0.08996502327951214,0.0802523322131827
207,2,150.0,90.0,False,0.0889483878423446,0.058630358222064
208,2,150.0,120.0,False,0.07721276564599941,0.10189630974491412
209,2,150.0,150.0,True,0.15161054858269524,0.06805519630791979
210,2,150.0,180.0,False,0.21646748655058973,0.12642587671615305
211,2,150.0,210.0,False,0.10408236015641978,0.05095385554196287
