trial_idx,cue,target_angle_deg,distractor_angle_deg,wasserstein_raw,wasserstein_unit,is_exemplar
0,2,120.0,270.0,0.0983789901403818,0.03047047095731396,False
1,2,150.0,270.0,0.10192893579745418,0.039242157350076294,False
2,2,180.0,270.0,0.10085196472796486,0.10053922544152895,False
3,2,210.0,270.0,0.057836218932921284,0.03143801179084584,False
4,2,240.0,270.0,0.07850158360095925,0.020819359371748516,False
5,2,270.0,270.0,0.06705203969639865,0.02252719777860809,False
6,2,300.0,270.0,0.07244781440983498,0.022726064052418983,False
7,2,330.0,270.0,0.05996681746370989,0.021959072560159925,True
8,2,0.0,300.0,0.08041789142956529,0.029345526870103254,False
9,2,30.0,300.0,0.04608832080589711,0.010971000351810348,False
10,2,60.0,300.0,0.07926848297534574,0.029615119948520667,True
11,2,90.0,300.0,0.07967836320930871,0.02273991991699944,False
12,2,120.0,300.0,0.057344058338027325,0.019278851515070108,False
13,2,150.0,300.0,0.10132907326951317,0.054965311225648995,False
14,2,180.0,300.0,0.1496676229832036,0.08198630749998487,False
15,2,210.0,300.0,0.049021947313929004,0.019430162524303126,False
16,2,240.0,300.0,0.032283598635508025,0.006568170887280254,True
17,2,270.0,300.0,0.04727804561906396,0.015726278599265283,True
18,2,300.0,300.0,0.12903097657301169,0.04877310730318045,False
19,2,330.0,300.0,0.23971800132689935,0.12014078726911746,False
20,2,0.0,330.0,0.06086257314581087,0.024209987405576103,True
21,2,30.0,330.0,0.05766754988416387,0.026239520521095697,False
22,2,60.0,330.0,0.12501031630813467,0.05298630582859816,False
23,2,90.0,330.0,0.048905285555421465,0.012113861056653017,False
24,2,120.0,330.0,0.047654106699218934,0.015058289193252647,False
25,2,150.0,330.0,0.10036831286864062,0.04469400135152057,True
26,2,180.0,330.0,0.11562698689207035,0.06654581220193881,True
27,2,210.0,330.0,0.04886644449946123,0.027491344706507104,False
28,2,240.0,330.0,0.09189456363598682,0.039845636912312146,False
29,2,270.0,330.0,0.056449308188494265,0.023081852670955635,False
30,2,300.0,330.0,0.2795892017849218,0.12795326382337488,True
31,2,330.0,330.0,0.22889342572351998,0.0900671284600269,False
