strategy,n_features,stress,improvement
All 36 features,36,1030.1223073952842,0.0
Top 3 (pos importance),3,0.936259599527435,1029.1860477957568
Top 10,10,42.72952186122514,987.392785534059
Top 15,15,120.57027248287014,909.5520349124141
Top 20,20,209.3292249735334,820.7930824217508
