,mean_sq_temporal_deriv_sum,mean_sq_temporal_deriv_diff,reconstruction_error_rank3_sum,plane_angle_deg_sum,mean_radius_sum,plane_angle_deg_diff,reconstruction_error_rank3_diff,radius_std_sum,mean_radius_diff,arc_std_sum,eccentricity_sum,principal_angle_tgt_dis_sum,eccentricity_diff,radius_std_diff,arc_std_diff
0,1312.2713623046875,176.5989990234375,109.13643646240234,86.94837188720703,79.81492614746094,3.8153457641601562,7.218254089355469,19.421186447143555,5.413055419921875,17.201202392578125,4.072667121887207,3.5094082355499268,-0.07401597499847412,1.49267578125,0.8985195159912109
1,4996.711669921875,77.297119140625,197.97409057617188,66.83391571044922,102.6554946899414,5.388975143432617,-0.0998992919921875,11.481001853942871,1.3142013549804688,13.519312858581543,4.140172958374023,6.303993463516235,0.44254255294799805,0.4554319381713867,0.3055887222290039
10,5395.8076171875,-367.2294921875,190.37702178955078,58.663841247558594,107.86273193359375,1.1618080139160156,-7.390602111816406,20.064851760864258,-3.9322967529296875,13.743507385253906,8.846564292907715,5.20544171333313,-2.023068428039551,-0.135498046875,-1.0612430572509766
12,1670.17578125,-97.859375,112.94221115112305,120.3263931274414,67.15323638916016,-15.445579528808594,-1.8505744934082031,13.099109649658203,-2.0832977294921875,10.73208999633789,10.653385162353516,2.844978094100952,-0.3279457092285156,0.5156378746032715,0.24088478088378906
13,4990.6689453125,-85.89453125,207.0353546142578,64.87294006347656,101.65087890625,1.7230567932128906,-2.053680419921875,15.684160232543945,-1.3734626770019531,13.259400367736816,4.593103885650635,5.045521259307861,0.2647395133972168,0.8897991180419922,-0.9987010955810547
4,4584.32861328125,-47.51953125,173.4120635986328,76.537109375,95.85835266113281,4.6178131103515625,-1.652740478515625,12.569568634033203,0.2656898498535156,12.91086196899414,3.998534679412842,4.192742586135864,-0.07565641403198242,0.8507933616638184,0.1664118766784668
5,4758.7939453125,-113.96826171875,188.05553436279297,58.94367980957031,96.94723510742188,0.2005786895751953,-4.682838439941406,17.65807342529297,-0.5950088500976562,16.265701293945312,4.066216468811035,5.304370880126953,-0.41920971870422363,-0.8859472274780273,0.004040718078613281
6,5387.154296875,18.1171875,212.03284454345703,59.40129852294922,105.4419937133789,-1.9438591003417969,0.00968170166015625,9.56832504272461,0.17784881591796875,9.561476707458496,3.9120583534240723,4.070451021194458,-0.044387102127075195,0.017000675201416016,-0.04530811309814453
7,3154.292724609375,-274.31103515625,172.92367553710938,62.339637756347656,97.89805603027344,0.10273551940917969,-9.717147827148438,11.801956176757812,-4.248283386230469,10.521586418151855,3.892824172973633,7.36838173866272,-0.20510470867156982,0.1629014015197754,0.7036190032958984
no_ablation,5558.0595703125,-19.65576171875,226.3729019165039,65.5856704711914,114.8607177734375,1.3623809814453125,-1.8211898803710938,12.83665657043457,-0.16861724853515625,10.351785659790039,3.7388243675231934,5.987391948699951,-0.3270806074142456,-0.05454111099243164,0.06723690032958984
