trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Student_0,sw_self_reference
0,1,0.0,0.0,True,0.11883331751017519,0.017485616687045548
1,1,0.0,30.0,False,0.12122783920178588,0.024494443999502208
2,1,0.0,60.0,False,0.27670166262549983,0.023678304375986774
3,1,0.0,90.0,False,0.398567349847734,0.031133378658678292
4,1,0.0,120.0,False,0.5021284657279133,0.06955734481561493
5,1,0.0,150.0,False,0.5883788014097353,0.0551630517379652
6,1,0.0,180.0,False,0.6626266267775347,0.0957345352870538
7,1,0.0,210.0,False,0.5272233962217959,0.07041827055969571
8,1,0.0,240.0,False,0.4460343117157112,0.05633452990246908
9,1,0.0,270.0,False,0.26648876351633366,0.0248134419768673
10,1,0.0,300.0,False,0.20095975280574013,0.02897653603180664
11,1,0.0,330.0,False,0.08181464373601607,0.023009222927292055
12,1,30.0,0.0,False,0.21175236810752085,0.04258614399622326
13,1,30.0,30.0,True,0.11996650797577352,0.02073550430280046
14,1,30.0,60.0,False,0.18640042176951221,0.02660069329238364
15,1,30.0,90.0,False,0.14662179507569528,0.01849166674154446
16,1,30.0,120.0,False,0.26679361032821297,0.019725072991640218
17,1,30.0,150.0,False,0.3242377757716343,0.039584290606909975
18,1,30.0,180.0,False,0.6486844222198042,0.024499580681568246
19,1,30.0,210.0,False,0.5490278585489272,0.052407575711786926
20,1,30.0,240.0,False,0.32849141601390297,0.026138582251415576
21,1,30.0,270.0,False,0.3434190167938521,0.0742710874412113
22,1,30.0,300.0,False,0.2993210302824231,0.15662714957108378
23,1,30.0,330.0,False,0.2305936363256807,0.02546322986351078
24,1,60.0,0.0,False,0.3359975260710574,0.022263896906891394
25,1,60.0,30.0,False,0.11810065649703809,0.019444561933030582
26,1,60.0,60.0,True,0.130665458438853,0.054442719638421525
27,1,60.0,90.0,False,0.11924988061542663,0.02733342582651261
28,1,60.0,120.0,False,0.21554846623189183,0.045606905366376266
29,1,60.0,150.0,False,0.5077983502806909,0.04068512683491677
30,1,60.0,180.0,False,0.46214772367795687,0.10601276051477201
31,1,60.0,210.0,False,0.5566754362728736,0.03875514870633935
32,1,60.0,240.0,False,0.4670144058498382,0.06771984515988462
33,1,60.0,270.0,False,0.6116644655204141,0.10626710740457423
34,1,60.0,300.0,False,0.6891721573916149,0.02227154340413957
35,1,60.0,330.0,False,0.596733360290131,0.15377419001512618
36,1,90.0,0.0,False,0.5515432307095525,0.04453425410704571
37,1,90.0,30.0,False,0.6187623581215154,0.02368274718293853
38,1,90.0,60.0,False,0.29349740990155115,0.029596166322037255
39,1,90.0,90.0,True,0.15325574763228206,0.018881966553867174
40,1,90.0,120.0,False,0.15715396591827718,0.06409395138266663
41,1,90.0,150.0,False,0.37688252788518684,0.07559133570880099
42,1,90.0,180.0,False,0.5280601250480387,0.09005032028919785
43,1,90.0,210.0,False,0.5963031668154998,0.028069775145745057
44,1,90.0,240.0,False,0.5378731063428233,0.10423127942604285
45,1,90.0,270.0,False,0.7500715632980821,0.025906523818470896
46,1,90.0,300.0,False,0.6896867606879009,0.05150256361956709
47,1,90.0,330.0,False,0.4996665662403528,0.022632035352832036
48,1,120.0,0.0,False,0.6601395159469484,0.10757423846795164
49,1,120.0,30.0,False,0.7101711157955667,0.041483418674756495
50,1,120.0,60.0,False,0.404611895413984,0.02781548026015425
51,1,120.0,90.0,False,0.13514131711173283,0.022194005736452617
52,1,120.0,120.0,True,0.06278412875699463,0.02508833701631761
53,1,120.0,150.0,False,0.13575507387096278,0.029982378913421225
54,1,120.0,180.0,False,0.3334715979860816,0.034567177447100174
55,1,120.0,210.0,False,0.5274852501138116,0.08819186375846741
56,1,120.0,240.0,False,0.6659676420439806,0.1058483609891194
57,1,120.0,270.0,False,0.8221526399332514,0.05494329780463427
58,1,120.0,300.0,False,0.6945818177248688,0.017648967428123316
59,1,120.0,330.0,False,0.7494907634508736,0.0792563664898929
60,1,150.0,0.0,False,0.7957203251783089,0.14415160073686478
61,1,150.0,30.0,False,0.7025041796773792,0.13641810463806958
62,1,150.0,60.0,False,0.5053941355414492,0.057667113837959944
63,1,150.0,90.0,False,0.20095850508131008,0.019966570643759642
64,1,150.0,120.0,False,0.16177516065362985,0.02064393382609824
65,1,150.0,150.0,True,0.18005698209328735,0.02525141015854257
66,1,150.0,180.0,False,0.20654111840769163,0.03131881246085239
67,1,150.0,210.0,False,0.4129462912549692,0.0693476603877454
68,1,150.0,240.0,False,0.4969054271726039,0.09890585767704133
69,1,150.0,270.0,False,0.6580032512195229,0.08651718763917393
70,1,150.0,300.0,False,0.815831378346785,0.06561819305543876
71,1,150.0,330.0,False,0.7216026820943782,0.18142821414848995
72,1,180.0,0.0,False,1.0022469227863724,0.04692064086864796
73,1,180.0,30.0,False,0.8056362164646358,0.046348563943505325
74,1,180.0,60.0,False,0.5978803540015252,0.13944177113742964
75,1,180.0,90.0,False,0.5522323807214059,0.05199464466040624
76,1,180.0,120.0,False,0.4950615901063994,0.054662416163073095
77,1,180.0,150.0,False,0.17651696158669006,0.04375328343081551
78,1,180.0,180.0,True,0.13938457043066493,0.041034754023122275
79,1,180.0,210.0,False,0.12048197027854127,0.02274928268625479
80,1,180.0,240.0,False,0.3382637968227963,0.02442178925389796
81,1,180.0,270.0,False,0.5635939736337767,0.05084398899520322
82,1,180.0,300.0,False,0.3602609999744548,0.05799678160668542
83,1,180.0,330.0,False,0.657813998879259,0.0724333683364125
84,1,210.0,0.0,False,0.7786224523683569,0.06904629581664154
85,1,210.0,30.0,False,0.6580066454247544,0.032500448935812686
86,1,210.0,60.0,False,0.7079048292416857,0.10519541083722281
87,1,210.0,90.0,False,0.6037901256206497,0.058982559218892935
88,1,210.0,120.0,False,0.5147497810188507,0.05563529655392313
89,1,210.0,150.0,False,0.2806558851048665,0.11587892238706182
90,1,210.0,180.0,False,0.18020507881355582,0.02604754336907303
91,1,210.0,210.0,True,0.286863628924865,0.05137312671983771
92,1,210.0,240.0,False,0.17842443598328783,0.036423225046116475
93,1,210.0,270.0,False,0.23566269431541187,0.03188610497288844
94,1,210.0,300.0,False,0.3400146295847076,0.05527495508562601
95,1,210.0,330.0,False,0.6497042079105596,0.04633771633598624
96,1,240.0,0.0,False,0.640398837486955,0.08766171549906616
97,1,240.0,30.0,False,0.8503274371719958,0.07453791165146773
98,1,240.0,60.0,False,0.9154893075556987,0.03773924981920089
99,1,240.0,90.0,False,0.6729704351376739,0.019179508600933953
100,1,240.0,120.0,False,0.7116531084968649,0.1428721627916596
101,1,240.0,150.0,False,0.4797782537963123,0.03425535595567733
102,1,240.0,180.0,False,0.27351250647265707,0.024152922862161332
103,1,240.0,210.0,False,0.24358422925299408,0.030904613034358264
104,1,240.0,240.0,True,0.26742519338310766,0.035909072685317026
105,1,240.0,270.0,False,0.13185599416408497,0.03029538492088774
106,1,240.0,300.0,False,0.39148407416571473,0.02128513612037357
107,1,240.0,330.0,False,0.7440978915031713,0.032970734987399705
108,1,270.0,0.0,False,0.6482015122951125,0.055531903547802394
109,1,270.0,30.0,False,0.9180130426892605,0.07993224837239372
110,1,270.0,60.0,False,0.8177703426174375,0.023317774627535426
111,1,270.0,90.0,False,0.7028139279041226,0.03649953604288306
112,1,270.0,120.0,False,0.6323662344028051,0.1201461890979568
113,1,270.0,150.0,False,0.2860086707327156,0.03908459225086931
114,1,270.0,180.0,False,0.2789948178858019,0.0656321650077755
115,1,270.0,210.0,False,0.35748169289787335,0.09455595778406096
116,1,270.0,240.0,False,0.3221741160646526,0.01773329569471059
117,1,270.0,270.0,True,0.23798972275980945,0.017165726896565685
118,1,270.0,300.0,False,0.2619821469601471,0.025642579718241486
119,1,270.0,330.0,False,0.5764145865866694,0.029190818496984527
120,1,300.0,0.0,False,0.3773095481005613,0.051851855677097144
121,1,300.0,30.0,False,0.5632880490043876,0.02674124254845109
122,1,300.0,60.0,False,0.5457174776176918,0.13855274191853084
123,1,300.0,90.0,False,0.3596382886108631,0.13251412572468108
124,1,300.0,120.0,False,0.716575250833121,0.05584600969222227
125,1,300.0,150.0,False,0.49517348472556105,0.1130955426412463
126,1,300.0,180.0,False,0.704242781894749,0.029340647382535327
127,1,300.0,210.0,False,0.4623389603637186,0.11291171635201622
128,1,300.0,240.0,False,0.22932880210022732,0.04836323248832737
129,1,300.0,270.0,False,0.136550310440132,0.043213646079793604
130,1,300.0,300.0,True,0.31597285207959036,0.021859629540005414
131,1,300.0,330.0,False,0.32549087850875896,0.06208917975551649
132,1,330.0,0.0,False,0.20457002508526959,0.024672025820638113
133,1,330.0,30.0,False,0.2353126117146278,0.09211033672985378
134,1,330.0,60.0,False,0.5260272235117136,0.053878042118977884
135,1,330.0,90.0,False,0.6658344590588615,0.10117202868264219
136,1,330.0,120.0,False,0.9423762166651357,0.05009832523634445
137,1,330.0,150.0,False,0.6902897080302095,0.1403755014216237
138,1,330.0,180.0,False,0.7705014655456801,0.04254998935006546
139,1,330.0,210.0,False,0.4975681177346779,0.05611472135743341
140,1,330.0,240.0,False,0.3600798277687044,0.034337972200944075
141,1,330.0,270.0,False,0.21422501822501275,0.03154622955156293
142,1,330.0,300.0,False,0.11706814018686301,0.01937737191514454
143,1,330.0,330.0,True,0.16548324046846058,0.030408786681056822
144,2,0.0,0.0,True,0.11784013590368494,0.03807862254882237
145,2,0.0,30.0,False,0.34627822415755694,0.019447751460640768
146,2,0.0,60.0,False,0.43512604115116205,0.05465449696063581
147,2,0.0,90.0,False,0.5150970959525237,0.06200236141751088
148,2,0.0,120.0,False,0.6824137729239126,0.1522368184434885
149,2,0.0,150.0,False,0.8530055543298837,0.13492499580268774
150,2,0.0,180.0,False,0.7812602228749899,0.04614754933974925
151,2,0.0,210.0,False,0.6889330516988215,0.04193951973915934
152,2,0.0,240.0,False,0.9351754322155477,0.03225196400403617
