ablation_idx,direction,abs_cosine,signed_cosine
9,cue1_local_pc1,0.47563566224356596,0.47563566224356596
6,cue1_local_pc1,0.3923903404521012,0.3923903404521012
7,cue1_local_pc1,0.3383848990953332,-0.3383848990953332
11,cue1_local_pc1,0.3327971237945296,-0.3327971237945296
2,cue1_local_pc1,0.31642125401443644,-0.31642125401443644
1,cue1_local_pc1,0.29941875677557506,-0.29941875677557506
10,cue1_local_pc1,0.27311753684134515,-0.27311753684134515
3,cue1_local_pc1,0.22171567736275272,0.22171567736275272
13,cue1_local_pc1,0.18845601506250578,-0.18845601506250578
4,cue1_local_pc1,0.131048348238998,0.131048348238998
8,cue1_local_pc1,0.12678559502357403,-0.12678559502357403
12,cue1_local_pc1,0.09774962618766934,0.09774962618766934
0,cue1_local_pc1,0.028837751326715524,0.028837751326715524
5,cue1_local_pc1,0.012671845689285768,-0.012671845689285768
10,cue1_local_pc2,0.5399579527406447,-0.5399579527406447
12,cue1_local_pc2,0.4339131817552818,0.4339131817552818
6,cue1_local_pc2,0.3590909732969118,-0.3590909732969118
5,cue1_local_pc2,0.29884135834500497,0.29884135834500497
2,cue1_local_pc2,0.2747029635116435,0.2747029635116435
3,cue1_local_pc2,0.24925478568482623,-0.24925478568482623
4,cue1_local_pc2,0.2407096780551275,0.2407096780551275
1,cue1_local_pc2,0.1935097282071721,-0.1935097282071721
13,cue1_local_pc2,0.17465116474664066,0.17465116474664066
7,cue1_local_pc2,0.10596413091538087,-0.10596413091538087
11,cue1_local_pc2,0.09304485359116751,0.09304485359116751
8,cue1_local_pc2,0.07607461154348485,-0.07607461154348485
9,cue1_local_pc2,0.051697909788451346,0.051697909788451346
0,cue1_local_pc2,0.038803255241801456,0.038803255241801456
13,cue1_local_pc3,0.5604210866817445,0.5604210866817445
8,cue1_local_pc3,0.44604118762105127,0.44604118762105127
3,cue1_local_pc3,0.44072594090546147,0.44072594090546147
4,cue1_local_pc3,0.3606428673123988,0.3606428673123988
5,cue1_local_pc3,0.32942631879572204,-0.32942631879572204
0,cue1_local_pc3,0.14173036224749605,0.14173036224749605
6,cue1_local_pc3,0.1063514710084267,-0.1063514710084267
11,cue1_local_pc3,0.08220690514902983,0.08220690514902983
9,cue1_local_pc3,0.06454540554310505,0.06454540554310505
7,cue1_local_pc3,0.054573102600121465,-0.054573102600121465
2,cue1_local_pc3,0.05092170380451382,-0.05092170380451382
10,cue1_local_pc3,0.04544906990555217,-0.04544906990555217
12,cue1_local_pc3,0.023067954966495635,-0.023067954966495635
1,cue1_local_pc3,0.0031805952698911455,-0.0031805952698911455
4,cue2_local_pc1,0.5744619751331632,0.5744619751331632
8,cue2_local_pc1,0.54751692201142,-0.54751692201142
2,cue2_local_pc1,0.3541932360519239,-0.3541932360519239
