ablation_idx,behaviour_projection_norm
8,6.482700953164952e-07
5,6.341044658456023e-07
10,3.762457793669608e-07
1,3.646877176760142e-07
0,3.570320318625512e-07
3,3.409728522770729e-07
13,3.310508817343321e-07
4,3.048656839901586e-07
7,2.6616771787992904e-07
11,2.5229309540319255e-07
12,2.474876017382108e-07
6,1.871686753765548e-07
9,1.8111080941639934e-07
2,1.0626543130114645e-07
