subspace,min_principal_angle_deg,max_principal_angle_deg,mean_principal_angle_deg,angles_deg
global_pc123_span,0.0,2.1377863471372036,0.8244215133638026,"[0.0, 0.3354781929542044, 2.1377863471372036]"
cue2_plane_span,0.1464708192765618,4.908583028685573,2.5275269239810676,"[0.1464708192765618, 4.908583028685573]"
global_pc12_span,0.335230999366437,2.1369225840698047,1.2360767917181208,"[0.335230999366437, 2.1369225840698047]"
cue1_plane_span,2.2931707111306032,5.134438116303642,3.7138044137171224,"[2.2931707111306032, 5.134438116303642]"
