model_A,model_B,n_trials,prep_steps,neural_dim,procrustes_mode,procrustes_distance,centroid_distance_pointcloud,sliced_wasserstein,mmd2_rbf,ablation_direction_idx,student_run
index_cued_first_diffusion_0.3_swap_7_ablated_dir_03,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0,288,26,16,orthogonal_no_scaling,0.797834654563471,37.61612672995257,13.423066155884028,0.16865629910308388,3,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_03,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0,288,26,16,orthogonal_no_scaling,0.7137047292708839,49.79023260748364,15.002931215251403,0.1721665848070153,3,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_03,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0,288,26,16,orthogonal_no_scaling,0.7897341632391733,36.71305618026491,12.243394672080846,0.15117164843620223,3,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_03,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0,288,26,16,orthogonal_no_scaling,0.6801778588619869,35.17495209626737,9.864102735919293,0.09107062152250611,3,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_03,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0,288,26,16,orthogonal_no_scaling,0.6634577385689538,150.33213207575997,36.97880339931089,0.3635393919848683,3,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_03,index_cued_first_diffusion_0.3_swap_ablation_7_1,288,26,16,orthogonal_no_scaling,0.47353550920024806,27.835529836395395,7.185908987988649,0.01636331139807934,3,index_cued_first_diffusion_0.3_swap_ablation_7_1
index_cued_first_diffusion_0.3_swap_7_ablated_dir_04,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0,288,26,16,orthogonal_no_scaling,0.8037255435563176,35.838619664138406,13.127031665185502,0.16961976984978633,4,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_04,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0,288,26,16,orthogonal_no_scaling,0.7223861790081636,44.3308813967778,13.853005508436375,0.1708934727803344,4,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_04,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0,288,26,16,orthogonal_no_scaling,0.7954488519885795,33.183598121865394,11.609196845322847,0.141021721349323,4,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_04,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0,288,26,16,orthogonal_no_scaling,0.6886149283378777,35.816924774713506,9.566723506543202,0.08604539883606932,4,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_04,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0,288,26,16,orthogonal_no_scaling,0.6734220550416515,145.23626743377565,31.24648074477026,0.3525505394451308,4,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_04,index_cued_first_diffusion_0.3_swap_ablation_7_1,288,26,16,orthogonal_no_scaling,0.485871307296935,26.535052013549546,6.983019098153797,0.030830246261002947,4,index_cued_first_diffusion_0.3_swap_ablation_7_1
index_cued_first_diffusion_0.3_swap_7_ablated_dir_05,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0,288,26,16,orthogonal_no_scaling,0.8078700873122114,35.7123100611691,14.371132059250701,0.15683042836569927,5,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_05,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0,288,26,16,orthogonal_no_scaling,0.72620412470095,50.24048297636693,16.549948653602286,0.17152711636378348,5,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_05,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0,288,26,16,orthogonal_no_scaling,0.8008626530720918,36.22416564773908,12.915886357593035,0.1332709550881792,5,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_05,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0,288,26,16,orthogonal_no_scaling,0.6977056834295645,37.739640018650825,10.740446264307893,0.08086192213800014,5,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_05,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0,288,26,16,orthogonal_no_scaling,0.6631608998351136,140.12324210890588,30.542825425385644,0.3481592905083174,5,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_05,index_cued_first_diffusion_0.3_swap_ablation_7_1,288,26,16,orthogonal_no_scaling,0.5011842175632847,29.363785256785363,7.818127706319659,0.03259068865198134,5,index_cued_first_diffusion_0.3_swap_ablation_7_1
index_cued_first_diffusion_0.3_swap_7_ablated_dir_06,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0,288,26,16,orthogonal_no_scaling,0.8114048481877121,40.79196573497183,13.788859206829358,0.19381964518146622,6,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_06,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0,288,26,16,orthogonal_no_scaling,0.7307698985204245,51.7451778021406,15.976923966307544,0.1734120179568137,6,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_06,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0,288,26,16,orthogonal_no_scaling,0.8055122823302335,38.56000729002695,11.873097666845783,0.1607089381919644,6,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_06,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0,288,26,16,orthogonal_no_scaling,0.7065079011633804,41.945802185902544,10.37282875015778,0.13565082029057873,6,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_06,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0,288,26,16,orthogonal_no_scaling,0.6637299173450609,134.14945548750595,31.13399597432688,0.33497568811429623,6,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_06,index_cued_first_diffusion_0.3_swap_ablation_7_1,288,26,16,orthogonal_no_scaling,0.5153995149198205,32.44443745427537,8.407543682461565,0.09951840880184504,6,index_cued_first_diffusion_0.3_swap_ablation_7_1
index_cued_first_diffusion_0.3_swap_7_ablated_dir_07,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0,288,26,16,orthogonal_no_scaling,0.7546779943990076,34.06670375297021,12.147177606657824,0.16216216936687033,7,index_cued_first_diffusion_0.3_swap_recovery_ablation_0_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_07,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0,288,26,16,orthogonal_no_scaling,0.6641063029754802,48.995831083216274,13.801371226681416,0.17337959668324343,7,index_cued_first_diffusion_0.3_swap_recovery_ablation_1_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_07,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0,288,26,16,orthogonal_no_scaling,0.743476642159947,30.007448797199665,10.73210166074664,0.12898736966709567,7,index_cued_first_diffusion_0.3_swap_recovery_ablation_4_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_07,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0,288,26,16,orthogonal_no_scaling,0.6127258528013582,29.312564880928782,8.433354776870349,0.08220488139432736,7,index_cued_first_diffusion_0.3_swap_recovery_ablation_5_0
index_cued_first_diffusion_0.3_swap_7_ablated_dir_07,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0,288,26,16,orthogonal_no_scaling,0.7090783635832691,142.86183945223797,34.01232258813387,0.35393008948482274,7,index_cued_first_diffusion_0.3_swap_recovery_ablation_6_0
