ablation_direction_idx,procrustes_distance,sliced_wasserstein
0,0.5754092795832173,12.657133254841549
12,0.5859950097872367,12.148667167104426
7,0.6415908957899178,14.257336175268266
8,0.6700072713969205,14.364199268126209
3,0.6856394567668685,15.861198511339701
4,0.6946750916228415,14.484248709374226
5,0.6992774390887905,15.590253732018313
13,0.7003049326222245,16.172328282273465
2,0.7005577965162804,16.008098468181313
9,0.7030845088216061,15.29907391827593
1,0.7038363396885629,14.934038811788765
6,0.7051625834798058,15.347809564014767
10,0.7106639360659931,17.174534747408572
11,0.7345868002995267,19.538899592953737
