trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Ablated_1_vs_Student_2,sw_Ablated_1_vs_Student_3,sw_Ablated_1_vs_Student_4,sw_Student_0_vs_Student_1,sw_Student_0_vs_Student_2,sw_Student_0_vs_Student_3,sw_Student_0_vs_Student_4,sw_Student_1_vs_Student_2,sw_Student_1_vs_Student_3,sw_Student_1_vs_Student_4,sw_Student_2_vs_Student_3,sw_Student_2_vs_Student_4,sw_Student_3_vs_Student_4,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,0.13776943708250688,0.11626215829516799,0.1669805695517538,0.38376121342043495,0.2654522313154536,0.04151506635555118,0.05662262783332269,0.2547827607285593,0.13794834344784646,0.08301266709560529,0.2774189780197379,0.16096404000010212,0.22841768223845632,0.14128398739395776,0.1515900406979742,0.027576008977525573,0.2140451219330634,0.09903615781409063
1,1,0.0,30.0,False,0.08038727782989638,0.09023975184190666,0.1555403719642341,0.2929206659187768,0.17959940889552056,0.026043056251268553,0.11273277247694113,0.2242387142181177,0.10447786784184099,0.10979304538375109,0.2112691268627416,0.09653763511600393,0.14139456481345689,0.10062766522305383,0.12515252365095797,0.025063976213693495,0.1597374952900669,0.07651962068693421
2,1,0.0,60.0,False,0.038502051056383116,0.029584142355416475,0.05897004036881045,0.08130618974438963,0.05541722512662729,0.022213389679311173,0.06453960215501504,0.1064027494934783,0.07366238615288032,0.07112309977192219,0.10445463990641099,0.07078564933620271,0.08497091717638283,0.06133058459815529,0.0505552888480731,0.031176427427729442,0.05275592973032539,0.017893684911073186
3,1,0.0,90.0,False,0.04162628372100565,0.03294313812167714,0.044002134406347454,0.05769350366836888,0.0421358787213768,0.0563138019011991,0.015500010608519122,0.04212876608089037,0.035895019678678156,0.059121833601201525,0.06162955173229516,0.04507023376201314,0.055603282641351406,0.0460439682502008,0.02682944729526139,0.015038231695872484,0.043680187727755185,0.007979527799748785
4,1,0.0,120.0,False,0.04401539371782158,0.036730321357318046,0.06252188473463961,0.21162588537660237,0.19879243399972468,0.03708913860165153,0.06275078297320927,0.1734953583846709,0.16158175518373308,0.04293311263397664,0.18828755052507218,0.17685018660344098,0.2127319316020112,0.20416053742735268,0.04784446176567997,0.027473103530071073,0.11073718383722127,0.07769914441986
5,1,0.0,150.0,False,0.057854996115054576,0.08181106058944926,0.03364456565432179,0.17987803453728984,0.15784435769906002,0.05375576359245794,0.04986156913909113,0.1785857031317826,0.15288872904070883,0.07374650240100564,0.19657986133616712,0.1740771070570979,0.18808640064885251,0.16518875582568046,0.07291719858244729,0.028268142236149284,0.10220660291903509,0.05694243966233299
6,1,0.0,180.0,False,0.13169976728540855,0.060368649565900406,0.13177305087022484,0.11842682121836352,0.14324933466820058,0.10311001045532797,0.054705668847315585,0.05791939901657185,0.050466688509432665,0.11339609880631833,0.09052038618836912,0.10706192891034427,0.05715840703393367,0.07104620778845341,0.05128024775209784,0.03457401040221375,0.11710352472161958,0.029436188084470613
7,1,0.0,210.0,False,0.07841080905811917,0.07037074931514686,0.10896262145592822,0.10273158226607984,0.08101478608026617,0.08894526693050314,0.058440476660900284,0.12273309274321717,0.102007764446085,0.11843436344480257,0.11440799095829154,0.0984871320921389,0.12772538284584836,0.12102940077396873,0.04692192785457453,0.059553150983747104,0.08829810963510806,0.01488316460789026
8,1,0.0,240.0,False,0.09196377964645687,0.08969628170343302,0.09111241691823521,0.2751101583108507,0.19946746422790773,0.03087419403472039,0.07525096468216502,0.3358734429769314,0.2651599296352978,0.0861815460971127,0.33299154270977055,0.2621455579855402,0.29791075332716244,0.23291544529939842,0.09176175895300584,0.024474072587150966,0.14947002016137673,0.07559188592843441
9,1,0.0,270.0,False,0.04714221757657174,0.08471531448687952,0.05147593277452765,0.30241301656487896,0.23192166273600784,0.05297857740791142,0.04524576351517587,0.3200279627529861,0.2508629684068455,0.07647705072870574,0.2799555729778483,0.21576314753058107,0.30271303270935224,0.23582611518455693,0.12609479237255738,0.025664202675924695,0.14353362882777315,0.10419272724467384
10,1,0.0,300.0,False,0.04353384823970364,0.05279971367410537,0.05580202239978212,0.13195083712538322,0.10243794745617738,0.018396414167821746,0.07895370663719561,0.13234387594584274,0.10016261449487876,0.08315414740443097,0.13756344829360667,0.10452650737869641,0.1346404343983282,0.09948124910485986,0.04907642808386023,0.03602329336106651,0.07730487377903035,0.034120991655272104
11,1,0.0,330.0,False,0.06667113096237809,0.08778311478250736,0.091898675159372,0.2686733855285849,0.240072024065214,0.0766225734356286,0.09811930728550661,0.2645596196041943,0.23202120942027937,0.1658209867334511,0.334786269548132,0.30298285403218184,0.19172996551579963,0.17980326313817135,0.04875658694409525,0.03658824151429901,0.15101966609961126,0.08530128782936296
12,1,30.0,0.0,False,0.10209620402091901,0.2041472035004564,0.15382578435519412,0.13407494259120445,0.09663579150139272,0.12217262238477092,0.06442248738796258,0.07498860712666336,0.0719723815820682,0.0840741516785704,0.16747901370546142,0.18061622978550979,0.1095297190238166,0.12876943054329804,0.051696594672439214,0.06447853729773914,0.13815598519383335,0.039092896312681896
13,1,30.0,30.0,True,0.10569136735607582,0.1649203407378928,0.19204502080716573,0.16778488790297344,0.1448989342459946,0.10442254784810737,0.16199640821649183,0.09377736066405534,0.06147598303990808,0.07222434781877174,0.06568457930620229,0.10893233933749846,0.1278599568819016,0.17251385628004395,0.07093797578915156,0.04634344240081653,0.15506811021002048,0.02887057212189428
14,1,30.0,60.0,False,0.08730724857864339,0.14456278956520785,0.16783084902112758,0.09225779814615974,0.09522591877215827,0.08869973116867541,0.13943856456163678,0.03627462076473084,0.044693809603484735,0.06744442021605099,0.11693829488093904,0.11420691624422256,0.1678916836143759,0.16089147315132715,0.032660895169983856,0.0338641880860156,0.11743692081665938,0.03258979820338796
15,1,30.0,90.0,False,0.025379568799021396,0.04893953688498166,0.023747655252326447,0.03963918442462362,0.0495890210839076,0.05016163722441849,0.021468722888888014,0.033199143201964446,0.038212997189400306,0.04500866622496684,0.07857744117827717,0.08193797965496515,0.03806620298048734,0.041204333660128094,0.025049844968838598,0.017496143843210694,0.03745899328897214,0.011114017956772825
16,1,30.0,120.0,False,0.055446625785076496,0.07921431227641496,0.13712453350866258,0.07391566692849764,0.06021381904825058,0.08257417975951742,0.09413611275647128,0.05693743465092667,0.02270440237743785,0.07885446524907577,0.13153949391076314,0.08688852063555122,0.13735274304655182,0.09709616752884848,0.048575931581894605,0.021942493600459263,0.08118299150938045,0.02928553410864618
17,1,30.0,150.0,False,0.1268017738383671,0.05518114678960266,0.0897891664918612,0.21641211141455752,0.21046134386292306,0.08916964986112633,0.18626798675559658,0.1010682862140208,0.09534291570825143,0.1187500061442956,0.18042391186372478,0.1758420115600685,0.2817283785959939,0.2731192634172419,0.02365879428594549,0.04419611873148483,0.13972910847946232,0.06433164644876255
18,1,30.0,180.0,False,0.08888971598661194,0.25968978040882695,0.3288554402144549,0.43294473139408246,0.4785878319566963,0.3083155231158,0.3719069310517331,0.3812725236977754,0.42899984729480983,0.11351590611213846,0.6714596610880477,0.7179622287454019,0.7377903123582827,0.787688330606986,0.05612000156622769,0.03388149703155341,0.31779349999213446,0.13784772349825689
19,1,30.0,210.0,False,0.16416348236772713,0.10027152231802157,0.10416636944150395,0.7048384997241597,0.8001318820425424,0.09731000035139623,0.23692411191238133,0.5689963773246152,0.6609423633639862,0.17990106075905019,0.6268335512930531,0.7155046288102753,0.7828628692689916,0.8776429671291852,0.1041428434124809,0.1323713036487624,0.3747143511787909,0.3107438733463076
20,1,30.0,240.0,False,0.13987016401747165,0.1863697762059624,0.047928384191792774,0.313362291735433,0.429741965825029,0.06362160657831935,0.15043062470921897,0.2081156369431467,0.3238188599215179,0.20317780710089173,0.16266394807649454,0.27728307200463187,0.33233901850824327,0.4490447083410446,0.11830991082738884,0.031909414620404725,0.22345451639513775,0.13402161382589717
21,1,30.0,270.0,False,0.09770664018903769,0.04785456371098952,0.14365516997795688,0.3713478835294345,0.3129387613933727,0.06358007398644969,0.06436185365787175,0.3127641852558023,0.2549937243816226,0.11914087376701446,0.3644264406032787,0.3060169329361243,0.2525149435406683,0.19630434346744052,0.1214392499095342,0.07184062721726064,0.19470060376015824,0.12550836476327215
