direction,pair,label_A,label_B,sw_mean,sw_same,sw_diff,sw_self_mean,sw_self_same,sw_self_diff,ratio_mean,ratio_same,ratio_diff
0,Ablated_0_vs_Student_0,Ablated_0,Student_0,1.8833495845200758,2.675090009853354,1.8113731822170505,0.03523938014790998,0.04782556067166185,0.03409518191847798,53.44445834787977,55.9343157149526,53.1269546104217
0,Ablated_0_vs_Student_1,Ablated_0,Student_1,0.2106662852219121,0.7398287606081485,0.16256060564134514,0.03523938014790998,0.04782556067166185,0.03409518191847798,5.978149568400016,15.469317039214982,4.767846847980739
1,Ablated_1_vs_Student_0,Ablated_1,Student_0,0.10477308703566446,0.17976712416959809,0.09795544729621596,0.05844624709688088,0.04173407255998177,0.059965535691144434,1.7926401136071561,4.3074426515943305,1.6335290957916313
1,Ablated_1_vs_Student_1,Ablated_1,Student_1,0.1235710349621883,0.16252917594393804,0.12002938578202926,0.05844624709688088,0.04173407255998177,0.059965535691144434,2.114268085636981,3.894400090246285,2.0016395150749053
1,Ablated_1_vs_Student_2,Ablated_1,Student_2,0.12163700223953164,0.1827870264993728,0.11607790912500061,0.05844624709688088,0.04173407255998177,0.059965535691144434,2.0811772916386806,4.379803246775508,1.9357437199071452
1,Ablated_1_vs_Student_3,Ablated_1,Student_3,0.41021691149396833,0.27723403036964944,0.42230626432345186,0.05844624709688088,0.04173407255998177,0.059965535691144434,7.018704054924008,6.642870282338209,7.0424829771981345
1,Ablated_1_vs_Student_4,Ablated_1,Student_4,0.41534009457979276,0.30592581801770075,0.42528684699452846,0.05844624709688088,0.04173407255998177,0.059965535691144434,7.106360377447714,7.33036100366224,7.09218790581627
10,Ablated_10_vs_Student_0,Ablated_10,Student_0,3.4016787534377375,0.19963052437779183,3.6927740469886414,3.650109339714014,0.03546256679534735,3.9787135917975287,0.9319388645229623,5.629330937319041,0.9281326644374762
11,Ablated_11_vs_Student_0,Ablated_11,Student_0,300746.7868799294,394691.6886699639,292206.3412626535,34959.481703648955,41144.67000813098,34397.19185778696,8.602724417637418,9.592778082603779,8.49506385494381
11,Ablated_11_vs_Student_1,Ablated_11,Student_1,302804.3316437825,396100.45993414236,294322.865435568,34959.481703648955,41144.67000813098,34397.19185778696,8.661579545447802,9.627017542147385,8.556595743409156
12,Ablated_12_vs_Student_0,Ablated_12,Student_0,0.06348961391629705,0.12865940381878108,0.057565087561525785,0.02861984242489641,0.019097814283783487,0.029485481346815768,2.2183774799915534,6.736865376684992,1.952319749656806
12,Ablated_12_vs_Student_1,Ablated_12,Student_1,0.0720518901303942,0.13094963282644656,0.06669754988529852,0.02861984242489641,0.019097814283783487,0.029485481346815768,2.517550203830481,6.8567863777814475,2.2620471784328324
13,Ablated_13_vs_Student_0,Ablated_13,Student_0,0.1910057789341633,0.16092385705012915,0.19374049910543914,0.13288215929020428,0.036745259536614755,0.1416218774496215,1.4374072483050306,4.3794453782474125,1.3680125033955826
2,Ablated_2_vs_Student_0,Ablated_2,Student_0,12.159876177379298,0.3986147724640909,13.22908175964432,0.6040209234166612,0.039141228537863455,0.6553736229510976,20.131547941413384,10.184012800683785,20.18555720945065
3,Ablated_3_vs_Student_0,Ablated_3,Student_0,9.65569726474172,38.793049236084265,7.006847085528761,7.041029677514621,17.909336036085545,6.0530018267354455,1.371347332276838,2.1660797004378107,1.1575821858470758
4,Ablated_4_vs_Student_0,Ablated_4,Student_0,0.14074106870295916,0.21338143100645465,0.13413739940264138,0.07403797819030698,0.0852398564464606,0.07301962562156573,1.900930740453214,2.503305846608038,1.8370047540071888
5,Ablated_5_vs_Student_0,Ablated_5,Student_0,0.12457005350138346,0.21192247128855501,0.11662892461164058,0.05263475019511861,0.036792983017622564,0.05407491084761826,2.3666884147753815,5.759861090552279,2.156802901447179
6,Ablated_6_vs_Student_0,Ablated_6,Student_0,12.644748462589412,12.984771134552348,12.613837310592784,0.032233697509924525,0.03089158151799179,0.03235570805464568,392.28352436750964,420.3336474369172,389.8489036088849
7,Ablated_7_vs_Student_0,Ablated_7,Student_0,0.11106499368129455,0.20762598762434822,0.1022867215046533,0.049734734520820924,0.029926693709502083,0.05153546550366808,2.233147411992284,6.937819113590369,1.9847831101355426
9,Ablated_9_vs_Student_0,Ablated_9,Student_0,156.90679021963845,275.60393958968086,146.11614027690732,1.9647004372563093,13.693246399956385,0.8984689861017567,79.86295887364778,20.126997757855193,162.62791764340193
no_ablation,Healthy_vs_Student_0,Healthy,Student_0,0.4351619142162751,0.17315071038138954,0.45898111456490104,0.05817177774021212,0.031868374457068124,0.06056299622049793,7.4806363346785405,5.433308517654444,7.578573439362895
