direction,teacher_vs_student,teacher,student,sw_mean,sw_self_mean,ratio_mean
0,Ablated_0_vs_Student_0,Ablated_0,Student_0,1.883349584520076,0.0352393801479099,53.44445834787977
0,Ablated_0_vs_Student_1,Ablated_0,Student_1,0.2106662852219121,0.0352393801479099,5.978149568400016
1,Ablated_1_vs_Student_0,Ablated_1,Student_0,0.1047730870356644,0.0584462470968808,1.792640113607156
1,Ablated_1_vs_Student_1,Ablated_1,Student_1,0.1235710349621883,0.0584462470968808,2.114268085636981
1,Ablated_1_vs_Student_2,Ablated_1,Student_2,0.1216370022395316,0.0584462470968808,2.0811772916386806
1,Ablated_1_vs_Student_3,Ablated_1,Student_3,0.4102169114939683,0.0584462470968808,7.018704054924008
1,Ablated_1_vs_Student_4,Ablated_1,Student_4,0.4153400945797927,0.0584462470968808,7.106360377447714
10,Ablated_10_vs_Student_0,Ablated_10,Student_0,3.401678753437737,3.650109339714014,0.9319388645229624
11,Ablated_11_vs_Student_0,Ablated_11,Student_0,300746.7868799294,34959.481703648955,8.602724417637418
11,Ablated_11_vs_Student_1,Ablated_11,Student_1,302804.3316437825,34959.481703648955,8.661579545447802
12,Ablated_12_vs_Student_0,Ablated_12,Student_0,0.063489613916297,0.0286198424248964,2.218377479991553
12,Ablated_12_vs_Student_1,Ablated_12,Student_1,0.0720518901303942,0.0286198424248964,2.517550203830481
13,Ablated_13_vs_Student_0,Ablated_13,Student_0,0.1910057789341633,0.1328821592902042,1.4374072483050306
2,Ablated_2_vs_Student_0,Ablated_2,Student_0,12.159876177379298,0.6040209234166612,20.131547941413384
3,Ablated_3_vs_Student_0,Ablated_3,Student_0,9.65569726474172,7.041029677514621,1.371347332276838
4,Ablated_4_vs_Student_0,Ablated_4,Student_0,0.1407410687029591,0.0740379781903069,1.900930740453214
5,Ablated_5_vs_Student_0,Ablated_5,Student_0,0.1245700535013834,0.0526347501951186,2.366688414775381
6,Ablated_6_vs_Student_0,Ablated_6,Student_0,12.644748462589412,0.0322336975099245,392.2835243675096
7,Ablated_7_vs_Student_0,Ablated_7,Student_0,0.1110649936812945,0.0497347345208209,2.233147411992284
9,Ablated_9_vs_Student_0,Ablated_9,Student_0,156.90679021963845,1.9647004372563093,79.86295887364778
no_ablation,Healthy_vs_Student_0,Healthy,Student_0,0.4351619142162751,0.0581717777402121,7.4806363346785405
