trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_0,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Ablated_2,sw_Healthy_vs_Ablated_3,sw_Healthy_vs_Ablated_4,sw_Healthy_vs_Ablated_5,sw_Healthy_vs_Ablated_6,sw_Healthy_vs_Ablated_7,sw_Healthy_vs_Ablated_8,sw_Healthy_vs_Ablated_9,sw_Healthy_vs_Ablated_10,sw_Healthy_vs_Ablated_11,sw_Healthy_vs_Ablated_12,sw_Healthy_vs_Ablated_13,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,1.058445031974272,1.3186309839659667,0.13390478349390741,0.06881747243473518,0.7949675580941109,0.20780907276915933,1.5097225649665127,0.8620132783374364,2.679891915712442,0.2239694761899736,0.2687357982470301,299343.59474357514,2.9200850135754877,0.3963721710338323,21382.574150621138,77092.51633787523
1,1,0.0,30.0,False,1.1975073389651523,1.2624065650731762,0.15349916463118785,0.23619822412443825,0.8373403179905692,0.25485356983596696,1.9522238344019982,1.1120346109846468,2.8531284103935457,0.25216402644905805,0.2448120385588371,176846.55005389074,2.5868702910799195,0.40092082328051115,12632.849572364748,45544.68594809526
2,1,0.0,60.0,False,2.7982572592240884,1.076429470283834,0.3046962347136818,0.37160578846350356,0.8668942808321325,0.4137897234919058,2.303161100634346,1.5222094426030772,2.911557114397283,0.19362842742506498,0.5080634839783067,154409.56550121336,2.2957702264382367,0.30095570513425807,11030.38803710507,39766.22894823136
3,1,0.0,90.0,False,1.4728143369767044,1.210765535267061,0.34069116261849597,0.43467276674358546,0.6152976468876525,0.6981262261246726,2.6560006728644767,1.79192545438417,2.7918339992330177,0.3420118831628236,0.5764095413525379,81229.41787338126,1.946652174674101,0.3308358262954505,5803.187565043418,20919.472392369036
4,1,0.0,120.0,False,1.434124014996763,1.4003216277632697,0.4126722195351416,0.7982705503593333,0.9136567974773557,1.3132687480596588,2.1630444995999825,0.7988298870004761,2.583783564528437,0.48853759286414344,0.343356897917159,16089.599191839052,1.3911936107993867,0.6955069430660074,1150.3096970566442,4143.413454070061
5,1,0.0,150.0,False,1.2264339037538554,1.2975479500364369,0.4033369018661941,0.9702119390646538,1.513949403330186,1.9240812484554008,1.9312350688565216,0.871427062224334,2.434358031570592,0.5192272099352868,0.8724326698443681,40201.25809541167,1.7179707955560364,0.7159090660423911,2872.6897297615865,10353.082114178598
6,1,0.0,180.0,False,1.0703990455452825,1.2625908594847246,0.8992011732509226,1.1914694275910995,1.4293400548883184,1.8170705617467804,1.8849446013860383,1.3890018865162697,1.8431227390565068,1.3334612768225769,0.7860560560851291,135718.57849847572,2.055593864077016,0.538778507789954,9695.434252037856,34952.531423808694
7,1,0.0,210.0,False,1.11829995627922,1.3526559147256214,0.48311664316336334,1.1401364162114376,1.2889302488500654,0.7986756210126364,1.6749534710240899,0.8060828431459004,1.350451786885804,1.5938748404488368,1.1251074704505315,190372.07915168768,1.856565549963729,0.3846482767195746,13599.075189337613,49028.00999432853
8,1,0.0,240.0,False,0.8886848179250928,1.182341349544787,0.11409366359163628,1.1603849305294347,1.4080505399051217,0.4998809058956082,1.3119202934022482,1.2932938657472608,0.777686068712577,0.4496701050129965,0.8328455319836772,227071.6918836854,1.5564875628649992,0.41090459437696414,16220.255580565348,58479.666547320325
9,1,0.0,270.0,False,0.7355344245356134,1.46444605883989,0.1802572311087039,0.6046552994278465,1.0082433908642705,0.8003213267936077,0.9643995973872542,1.136126784398251,1.2078011958849797,0.5356601218751311,0.8872315919608061,318382.84667595057,1.7642728335966034,1.2253088743991631,22742.525781048687,81995.87200714397
