trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Student_0,sw_Healthy_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,0.09258880504760676,0.7885551760280143,0.8411954131399271,0.44057199053781054,0.34798318549020374
1,1,0.0,30.0,False,0.11437346231295481,0.8296362347317958,0.729595942523072,0.47200484852237534,0.3576313862094205
2,1,0.0,60.0,False,0.31052616036411607,0.8502002621939343,0.549447822726316,0.5803632112790251,0.2698370509149091
3,1,0.0,90.0,False,0.41682725536004933,1.2039098598458338,0.8038571330138305,0.8103685576029416,0.39354130224289224
4,1,0.0,120.0,False,0.5039035818685441,0.9716445490755351,0.5009253416773664,0.7377740654720396,0.2338704836034955
5,1,0.0,150.0,False,0.5161527285582286,0.5597967697222614,0.3789354941299939,0.537974749140245,0.021822020582016433
6,1,0.0,180.0,False,0.6978722285717383,0.20587207002049124,0.5496615179223743,0.45187214929611474,0.2460000792756235
7,1,0.0,210.0,False,0.428928974961234,0.10383015479340435,0.4011278502186192,0.2663795648773192,0.16254941008391482
8,1,0.0,240.0,False,0.3337388184884317,0.34450241657203107,0.6044479947892003,0.33912061753023137,0.005381799041799695
9,1,0.0,270.0,False,0.20377999445272893,0.4655812205681596,0.6338337991412192,0.33468060751044426,0.13090061305771533
10,1,0.0,300.0,False,0.1885155050578426,0.4431951065233675,0.6172646193946695,0.31585530579060506,0.12733980073276246
11,1,0.0,330.0,False,0.1796435845978897,0.6009055571053707,0.7580614103823866,0.3902745708516302,0.21063098625374052
12,1,30.0,0.0,False,0.20370720016748217,0.5335252394941995,0.724832310889792,0.3686162198308408,0.16490901966335866
13,1,30.0,30.0,True,0.12455956565645088,0.5165588305475319,0.5282591825794688,0.3205591981019914,0.19599963244554053
14,1,30.0,60.0,False,0.192296550241898,0.5474185341849498,0.36794893530271616,0.36985754221342393,0.17756099197152586
15,1,30.0,90.0,False,0.22121077969058608,0.7207923122152555,0.5305557914335584,0.4710015459529208,0.24979076626233473
16,1,30.0,120.0,False,0.22096173265842634,0.5769125995421691,0.4084470647593693,0.3989371661002977,0.1779754334418714
17,1,30.0,150.0,False,0.3335127246809139,0.30808697927623807,0.14762466701218796,0.32079985197857597,0.012712872702337924
18,1,30.0,180.0,False,0.5949849483889383,0.8382200541138408,0.3000299780754169,0.7166025012513896,0.12161755286245124
19,1,30.0,210.0,False,0.5513763597240837,0.9655174272570684,0.46694452151196697,0.758446893490576,0.20707053376649232
20,1,30.0,240.0,False,0.34548938200483814,0.2936686840622519,0.3352599306735583,0.319579033033545,0.02591034897129313
21,1,30.0,270.0,False,0.34264676256456894,0.5064919579206135,0.8108556126921209,0.42456936024259123,0.08192259767802229
22,1,30.0,300.0,False,0.4364090448116159,0.35715266143676905,0.7818107229537858,0.3967808531241925,0.03962819168742343
23,1,30.0,330.0,False,0.28708219609443597,0.5634719407300608,0.8361960683733451,0.4252770684122484,0.1381948723178124
24,1,60.0,0.0,False,0.4840927426796485,0.37444450306318755,0.8501344225358891,0.42926862287141804,0.05482411980823049
25,1,60.0,30.0,False,0.10772956564109984,0.3423136995399526,0.44177599197622736,0.2250216325905262,0.11729206694942639
26,1,60.0,60.0,True,0.13455732641917134,0.2852474161519981,0.2530530399870877,0.20990237128558473,0.07534504486641339
27,1,60.0,90.0,False,0.13018384709077985,0.35223063214500455,0.4233849251937998,0.2412072396178922,0.11102339252711235
28,1,60.0,120.0,False,0.30073955430543675,0.5888420916505641,0.29350588756173523,0.44479082297800043,0.14405126867256368
29,1,60.0,150.0,False,0.5074046525780141,1.0382139040058727,0.5656369937973993,0.7728092782919433,0.26540462571392925
30,1,60.0,180.0,False,0.5880815669546349,1.929204689406932,1.4406945041835462,1.2586431281807835,0.6705615612261485
31,1,60.0,210.0,False,0.7246250086471442,1.850290454258841,1.2352935078443603,1.2874577314529927,0.5628327228058484
32,1,60.0,240.0,False,0.556494601318245,0.9229666291906983,0.4219034643654448,0.7397306152544716,0.18323601393622663
33,1,60.0,270.0,False,0.5346772640641473,0.32787494019445684,0.7892003392440612,0.43127610212930206,0.10340116193484522
34,1,60.0,300.0,False,0.4872114793606015,0.46412341812382674,0.9256822395767793,0.4756674487422141,0.01154403061838738
35,1,60.0,330.0,False,0.41284945960650415,0.45417187424666583,0.8583220110680045,0.433510666926585,0.020661207320080838
36,1,90.0,0.0,False,0.6675448891526167,0.5812002220662593,1.2430379172423909,0.6243725556094379,0.043172333543178676
37,1,90.0,30.0,False,0.5203449392868897,0.4577278914462989,0.9756471740361314,0.4890364153665943,0.03130852392029543
38,1,90.0,60.0,False,0.29116825939392865,0.2829439534392093,0.5634143610198841,0.287056106416569,0.004112152977359673
39,1,90.0,90.0,True,0.1674944082769923,0.20704716346361168,0.31561588627323844,0.187270785870302,0.01977637759330969
40,1,90.0,120.0,False,0.1450366468317073,0.37766104319564575,0.33329333321778953,0.2613488450136765,0.11631219818196922
41,1,90.0,150.0,False,0.3436835587664315,1.8198953555350474,1.5933701516958376,1.0817894571507394,0.738105898384308
42,1,90.0,180.0,False,0.44469024002399526,2.128767827469985,1.7919693298920532,1.28672903374699,0.8420387937229947
43,1,90.0,210.0,False,0.4465625520156983,1.5652658593261632,1.2055362809516699,1.0059142056709307,0.5593516536552325
44,1,90.0,240.0,False,0.5381156377261009,0.8137925908234833,0.3352383996599426,0.6759541142747921,0.1378384765486912
45,1,90.0,270.0,False,0.8256785211721256,0.18646217311796093,0.7218101626541953,0.5060703471450433,0.31960817402708236
46,1,90.0,300.0,False,0.5461345035028957,0.7982597030925056,1.336891291596697,0.6721971032977007,0.12606259979480494
47,1,90.0,330.0,False,0.4958744067807944,0.7950123457110703,1.2816680919050742,0.6454433762459324,0.14956896946513792
48,1,120.0,0.0,False,0.7407752390614477,0.5909817596231147,1.3269602229344555,0.6658784993422813,0.0748967397191665
49,1,120.0,30.0,False,0.8387214685091791,0.17303041966407234,1.0078751736516822,0.5058759440866257,0.3328455244225534
50,1,120.0,60.0,False,0.405827159075121,0.1866752869124088,0.5096110852454555,0.29625122299376494,0.1095759360813561
51,1,120.0,90.0,False,0.13360524708118077,0.16535520308506552,0.20215796580520884,0.14948022508312314,0.015874978001942375
52,1,120.0,120.0,True,0.08254497965492774,1.0747618909308696,1.0132207366897639,0.5786534352928987,0.49610845563797096
53,1,120.0,150.0,False,0.1722395796761403,1.663083843486507,1.52204486582572,0.9176617115813236,0.7454221319051834
54,1,120.0,180.0,False,0.40125497979635416,1.023345468243123,0.6836050461896925,0.7123002240197385,0.31104524422338437
55,1,120.0,210.0,False,0.6033359824046469,0.5425348766084614,0.42882328904749323,0.5729354295065542,0.030400552898092736
56,1,120.0,240.0,False,0.4814800684920608,0.29792581012198244,0.27409279885293003,0.3897029393070216,0.09177712918503919
57,1,120.0,270.0,False,0.5358126150981471,0.4761846137490285,0.9927949343331612,0.5059986144235878,0.029814000674559332
58,1,120.0,300.0,False,0.6808993480789456,0.929194624277077,1.5634607524445143,0.8050469861780113,0.1241476380990657
59,1,120.0,330.0,False,0.5829899294553704,0.8861596752584844,1.4623938516293924,0.7345748023569274,0.15158487290155698
60,1,150.0,0.0,False,0.8824165987155299,0.3419476028201792,1.2038950717532293,0.6121821007678545,0.27023449794767535
61,1,150.0,30.0,False,0.7861093541839798,0.07987766457382811,0.7491288500332103,0.4329935093789039,0.3531158448050758
62,1,150.0,60.0,False,0.5424319444188446,0.15473796707466156,0.623310252193268,0.3485849557467531,0.19384698867209152
63,1,150.0,90.0,False,0.3528650008458049,0.7056311683599895,0.9780312391613977,0.5292480846028972,0.1763830837570923
64,1,150.0,120.0,False,0.12981505472307903,1.5460290995203,1.6246965066940617,0.8379220771216895,0.7081070223986106
65,1,150.0,150.0,True,0.18075160484258299,1.0600825120290103,0.9212273633951462,0.6204170584357966,0.43966545359321363
66,1,150.0,180.0,False,0.22179566701584819,0.5651113288588528,0.3843740250386429,0.3934534979373505,0.17165783092150233
67,1,150.0,210.0,False,0.4087531759979677,0.3811704679847644,0.15263825322596392,0.39496182199136604,0.013791354006601642
68,1,150.0,240.0,False,0.5229487909128832,0.12641845520298056,0.5110405280884183,0.32468362305793186,0.1982651678549513
69,1,150.0,270.0,False,0.7764306275380296,0.40228880315932014,1.1327117644930405,0.5893597153486749,0.18707091218935473
