ablation_direction_idx,procrustes_auc,sliced_wasserstein_behaviour
0,0.4447912902449321,2.8637307441723925
1,0.37415974686553116,1.0109417491494015
2,0.3980631023606585,0.7023159940795226
3,0.45922274768863913,8.135782108937105
4,0.35294470584463244,1.0576444758528283
5,0.3523965784537857,0.8049362469817116
6,0.5665964922500255,1.9625678681104095
7,0.42079971516367637,0.9338410755420355
8,0.3752506284557339,1.9009910017894829
9,0.3554809577725286,14.994735811798986
10,0.40039951375122257,0.9315159522753966
11,0.7402858256368278,198560.2472126584
12,0.40998356791595836,1.9624800249197383
13,0.4143628576095822,0.542746714960497
