trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Ablated_1,sw_Healthy_vs_Student_0,sw_Healthy_vs_Student_1,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,1.3603727724605552,0.7937392207884039,1.295903353817562,0.6575091105658392,0.14492133684674097,0.6355573647156751,1.1500051156888402,0.2532891856974922
1,1,0.0,30.0,False,1.3148675253224331,0.7954582825186055,1.2280433494636598,0.6007989224241288,0.0941676591027307,0.5175840790782417,1.112789719101566,0.22716959870141512
2,1,0.0,60.0,False,1.101310735944209,0.7525876518720016,1.1124323858619474,0.4316887670099371,0.07789286287143052,0.41359691909883,0.988776924559386,0.16707274298673994
3,1,0.0,90.0,False,1.2532389703274678,1.1195548148830503,1.2723513007422,0.49171047785959204,0.03788593535812634,0.49728578783807953,1.2150483619842394,0.0679734430835344
4,1,0.0,120.0,False,1.4058392989316166,0.9824963505263564,1.3989187894924546,0.9347377496952047,0.0412941577637902,0.9395641941602355,1.2624181463168094,0.197954762814872
5,1,0.0,150.0,False,1.3217333256030102,0.47976898312519334,1.3009360713334555,1.1635139424331464,0.06700763461520577,1.1506975639622574,1.0341461266872196,0.39209577437515764
6,1,0.0,180.0,False,1.2345763407980064,0.2778584955834299,1.2602053237407405,1.2595892850869788,0.061134520019826694,1.2896620579615146,0.9242133867073923,0.45716167464882096
7,1,0.0,210.0,False,1.2874254917415193,0.11138952293407889,1.3213149690148613,1.3406869980204332,0.06716459161464657,1.3727898441415642,0.9067099945634866,0.562546657983189
8,1,0.0,240.0,False,1.1822150060240963,0.2913770488051285,1.1528668747673834,1.1420638454729204,0.06096824296346679,1.1132631473545054,0.875486309865536,0.4132013632152947
9,1,0.0,270.0,False,1.4652809487104936,0.4969062923484521,1.411596027050125,1.106789502116571,0.07157910881316655,1.0480576131256336,1.1245944227030236,0.4443833251030264
10,1,0.0,300.0,False,1.455756118346006,0.560964358842032,1.4460011997093427,1.0187860768796952,0.0636046585110733,1.0181902653912103,1.1542405589657936,0.4195285265107083
11,1,0.0,330.0,False,1.3983381174447147,0.6195590698349089,1.4181708850566563,0.8861672231462975,0.04492638688079754,0.9083302773525319,1.1453560241120933,0.3718827436286515
