trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_6_vs_Student_0,sw_self_reference
0,1,0.0,0.0,True,17.763264139296904,0.047604551337610004
1,1,0.0,30.0,False,17.615141950507464,0.035918569794816044
2,1,0.0,60.0,False,17.287137341230665,0.04073578098814848
3,1,0.0,90.0,False,15.441369309015801,0.045693204823561595
4,1,0.0,120.0,False,14.567566084394066,0.03215360017960535
5,1,0.0,150.0,False,15.204091269138743,0.031732342497960406
6,1,0.0,180.0,False,14.186479770444821,0.02055961381814392
7,1,0.0,210.0,False,15.436825425427495,0.015260371827645992
8,1,0.0,240.0,False,14.703629150897983,0.033657048493241
9,1,0.0,270.0,False,14.389373093008034,0.029750396786416965
10,1,0.0,300.0,False,15.9913294874078,0.0409805956777248
11,1,0.0,330.0,False,17.814401039170036,0.04149797784094615
12,1,30.0,0.0,False,17.73546552428528,0.04799093054566285
13,1,30.0,30.0,True,18.42075767628056,0.028510427426813097
14,1,30.0,60.0,False,18.286801078836458,0.03573141858753781
15,1,30.0,90.0,False,17.694702678211428,0.04070927289900228
16,1,30.0,120.0,False,15.623177603712762,0.013893444915883381
17,1,30.0,150.0,False,15.967478935849563,0.014354182847143652
18,1,30.0,180.0,False,16.11383416338268,0.0178905746453686
19,1,30.0,210.0,False,14.617864875466571,0.020691198544948865
20,1,30.0,240.0,False,15.978233520356019,0.02264772844920274
21,1,30.0,270.0,False,16.708322795545087,0.02935735442469427
22,1,30.0,300.0,False,16.75746598004651,0.07403772606034631
23,1,30.0,330.0,False,18.118103985356928,0.043411020202611644
24,1,60.0,0.0,False,16.608160501245933,0.030280865392448456
25,1,60.0,30.0,False,17.8951634438013,0.03372694389184956
26,1,60.0,60.0,True,16.710799641813733,0.029470484074804314
27,1,60.0,90.0,False,17.346568331119922,0.021592723193835265
28,1,60.0,120.0,False,16.41567305176037,0.023449841224656664
29,1,60.0,150.0,False,16.31674146103951,0.018725433270348597
30,1,60.0,180.0,False,16.009310939192503,0.015033358920107237
31,1,60.0,210.0,False,17.39802135909659,0.038934262538156246
32,1,60.0,240.0,False,15.64951401190261,0.04527913573926753
33,1,60.0,270.0,False,16.181055119620332,0.03602722717524551
34,1,60.0,300.0,False,16.884318250175863,0.05870968505576937
35,1,60.0,330.0,False,17.300615830695904,0.04502019010277576
36,1,90.0,0.0,False,18.626439330898776,0.03572240506349695
37,1,90.0,30.0,False,18.80629605497947,0.024891104368195464
38,1,90.0,60.0,False,17.794315579809656,0.033946056818633594
39,1,90.0,90.0,True,17.0727048688258,0.038976828675542655
40,1,90.0,120.0,False,15.97584809020291,0.022106518309687902
41,1,90.0,150.0,False,16.546210667117105,0.026826104518456177
42,1,90.0,180.0,False,15.106261050159066,0.024416542718654594
43,1,90.0,210.0,False,16.627984774383204,0.05745769265720521
44,1,90.0,240.0,False,16.666687380801406,0.04812588882867924
45,1,90.0,270.0,False,15.2046177088788,0.04900912942516786
46,1,90.0,300.0,False,14.660612673271615,0.0471365370982868
47,1,90.0,330.0,False,17.516897424222506,0.030575759452279964
48,1,120.0,0.0,False,18.820252585618608,0.018929741231134778
49,1,120.0,30.0,False,19.515818939579148,0.011779117646922514
50,1,120.0,60.0,False,17.667026859205528,0.013813244802418887
51,1,120.0,90.0,False,17.172994769554826,0.02621784465999849
52,1,120.0,120.0,True,15.82946041409819,0.022441159774425647
53,1,120.0,150.0,False,14.430112697809651,0.024502937655708906
54,1,120.0,180.0,False,14.995844400210897,0.027043816258587833
