trial_idx,cue,color1_deg,color2_deg,same_color,sw_Ablated_1_vs_Student_0,sw_Ablated_1_vs_Student_1,sw_Student_0_vs_Student_1,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,0.6339757733255879,0.07466599494659543,0.5796821568758975,0.35432088413609164,0.2796548891894962
1,1,0.0,30.0,False,0.5605253113017021,0.0983286742653677,0.522032560667101,0.32942699278353493,0.23109831851816723
2,1,0.0,60.0,False,0.4069389880313763,0.051801505711790624,0.39106552094197244,0.22937024687158347,0.17756874115979282
3,1,0.0,90.0,False,0.49524032325577183,0.03415881610898153,0.5074163809754018,0.2646995696823767,0.23054075357339515
4,1,0.0,120.0,False,0.9381093497451358,0.05647734901278687,0.9558645405251027,0.49729334937896136,0.44081600036617447
5,1,0.0,150.0,False,1.1791478144816328,0.05907596162044952,1.1818594496064634,0.6191118880510411,0.5600359264305916
6,1,0.0,180.0,False,1.3748104769533085,0.06559658459233039,1.3511721787498514,0.7202035307728194,0.6546069461804891
7,1,0.0,210.0,False,1.3056531855906761,0.06057683899107742,1.2965781610894453,0.6831150122908768,0.6225381732997993
8,1,0.0,240.0,False,1.1608411186365637,0.045515344032765824,1.150126147947462,0.6031782313346647,0.557662887301899
9,1,0.0,270.0,False,1.06116296930471,0.06114131331141027,1.0120338937096356,0.5611521413080601,0.5000108279966499
10,1,0.0,300.0,False,1.0602450011569888,0.03757941369136089,1.0668802800497006,0.5489122074241749,0.5113327937328139
11,1,0.0,330.0,False,0.8835637682880574,0.04901229457337859,0.8914137700886646,0.466288031430718,0.41727573685733943
12,1,30.0,0.0,False,0.6992404337173751,0.2134590380870146,0.5504123635802967,0.45634973590219485,0.24289069781518025
13,1,30.0,30.0,True,0.5427840987464763,0.11722149837043173,0.4386684830416522,0.330002798558454,0.21278130018802227
14,1,30.0,60.0,False,0.41264450713784906,0.12272614454707223,0.3222981526228259,0.26768532584246063,0.14495918129538843
15,1,30.0,90.0,False,0.4247778965979889,0.043300203631147186,0.4194213367875599,0.23403905011456805,0.19073884648342088
16,1,30.0,120.0,False,0.8715704674710946,0.0734061369417248,0.8855096279682209,0.4724883022064097,0.3990821652646849
17,1,30.0,150.0,False,1.2046135326415885,0.09121167386518772,1.1929485063779188,0.6479126032533882,0.5567009293882004
18,1,30.0,180.0,False,1.4756463945388814,0.11837734375467343,1.4783048811922912,0.7970118691467774,0.678634525392104
19,1,30.0,210.0,False,1.1531935204621007,0.1965341631779154,1.2709441295368218,0.674863841820008,0.47832967864209264
20,1,30.0,240.0,False,1.1594671397049745,0.07070376449174429,1.186686785548176,0.6150854520983594,0.5443816876066151
21,1,30.0,270.0,False,0.8648572091116733,0.03431345309499238,0.8547786187602686,0.4495853311033328,0.4152718780083405
22,1,30.0,300.0,False,0.7999780733286713,0.055607810513289356,0.8023367888171564,0.42779294192098033,0.372185131407691
23,1,30.0,330.0,False,0.6782990425665719,0.07330069494913208,0.6342098288810757,0.375799868757852,0.30249917380871993
24,1,60.0,0.0,False,0.4440361717953726,0.19655791498790845,0.289265225607493,0.3202970433916405,0.12373912840373207
25,1,60.0,30.0,False,0.5829995795900271,0.31055348969689756,0.29954241009248456,0.44677653464346234,0.1362230449465648
26,1,60.0,60.0,True,0.3359905372021824,0.1252494033687244,0.30503014050139193,0.2306199702854534,0.10537056691672901
27,1,60.0,90.0,False,0.526896100271276,0.09990615383057848,0.5787517856127335,0.3134011270509272,0.21349497322034874
28,1,60.0,120.0,False,0.852934052475756,0.0453970367560186,0.8512449372599856,0.4491655446158873,0.40376850785986873
29,1,60.0,150.0,False,1.1738134957859523,0.20251079342690786,1.1778260296663072,0.6881621446064301,0.4856513511795222
30,1,60.0,180.0,False,0.9888401192879134,0.14390695425667405,0.9545958322608595,0.5663735367722937,0.4224665825156197
31,1,60.0,210.0,False,0.7573126166144182,0.04900185032283798,0.7534029370404448,0.4031572334686281,0.3541553831457901
32,1,60.0,240.0,False,0.776403534548529,0.04709123169303635,0.7490011742918812,0.41174738312078263,0.36465615142774627
33,1,60.0,270.0,False,0.7188547746423535,0.1285153750122465,0.6277096877721204,0.4236850748273,0.2951696998150535
34,1,60.0,300.0,False,0.6811694824415657,0.22763212140513628,0.49257456278597317,0.45440080192335097,0.22676868051821472
35,1,60.0,330.0,False,0.38173455245691246,0.1160093835173003,0.3047651490147424,0.24887196798710637,0.1328625844698061
36,1,90.0,0.0,False,0.5586311749611745,0.03804553948421395,0.5734080445174933,0.29833835722269425,0.2602928177384803
37,1,90.0,30.0,False,0.6052158717767135,0.06176829408391593,0.6131398588882666,0.33349208293031474,0.2717237888463988
38,1,90.0,60.0,False,0.55771131590934,0.09618979365360854,0.6251409281979693,0.3269505547814743,0.23076076112786573
39,1,90.0,90.0,True,0.6881308940760258,0.4185619583177808,0.8268715686910121,0.5533464261969033,0.1347844678791225
40,1,90.0,120.0,False,0.5233137251761197,0.31848901435175164,0.6298338300595778,0.42090136976393566,0.10241235541218405
41,1,90.0,150.0,False,1.1859857912517557,0.14125957285105684,1.1795081679478547,0.6636226820514063,0.5223631092003495
42,1,90.0,180.0,False,1.2549327656778444,0.1359190656603778,1.248259981412245,0.6954259156691112,0.5595068500087332
43,1,90.0,210.0,False,1.1383230477347892,0.08352449754602782,1.1122659604130656,0.6109237726404085,0.5273992750943807
44,1,90.0,240.0,False,1.1297460621163855,0.17135017051592635,1.0518420969490883,0.6505481163161559,0.47919794580022956
45,1,90.0,270.0,False,0.6404439913776696,0.20282907012287188,0.6769463512100454,0.42163653075027074,0.21880746062739886
46,1,90.0,300.0,False,0.5227764010910867,0.057561193559671694,0.5273953315706403,0.2901687973253792,0.2326076037657075
47,1,90.0,330.0,False,0.647771975499597,0.034246661547397236,0.653171440611725,0.3410093185234971,0.30676265697609983
48,1,120.0,0.0,False,1.230821185632697,0.17102768553505332,1.233804351837988,0.7009244355838751,0.5298967500488219
49,1,120.0,30.0,False,1.170688771068716,0.11707327832321349,1.1740159913003982,0.6438810246959648,0.5268077463727512
50,1,120.0,60.0,False,1.025434783560126,0.15020831422357617,1.0098292463594019,0.5878215488918511,0.43761323466827495
51,1,120.0,90.0,False,0.8305771660358277,0.30199115311616054,0.8145600651681133,0.5662841595759941,0.26429300645983356
52,1,120.0,120.0,True,0.6934268953184182,0.3970857125216105,0.7807126170066352,0.5452563039200143,0.14817059139840383
53,1,120.0,150.0,False,1.3664196158948008,0.18318727379472602,1.364384655074977,0.7748034448447634,0.5916161710500374
54,1,120.0,180.0,False,0.9369485737078522,0.15859879188760675,0.8613910575448591,0.5477736827977295,0.38917489091012275
55,1,120.0,210.0,False,0.7526905548425478,0.14022847611899736,0.7021854282810476,0.44645951548077256,0.3062310393617752
56,1,120.0,240.0,False,0.6737677146269195,0.07853120662713003,0.6824246629231119,0.3761494606270248,0.2976182539998948
57,1,120.0,270.0,False,0.6880904931907145,0.07305082567584525,0.718965507523591,0.38057065943327983,0.3075198337574346
58,1,120.0,300.0,False,1.3547425060306777,0.16900491055472255,1.3213071247039188,0.7618737082927001,0.5928687977379776
59,1,120.0,330.0,False,1.2693757331438151,0.11305808498433455,1.3089172399687155,0.6912169090640748,0.5781588240797403
60,1,150.0,0.0,False,1.464054058008395,0.06541950606609638,1.4883220306566671,0.7647367820372457,0.6993172759711493
61,1,150.0,30.0,False,1.3750547988573747,0.08357951949322363,1.3971319422220763,0.7293171591752992,0.6457376396820755
62,1,150.0,60.0,False,1.4146948887121764,0.20492856989096114,1.4360861542565968,0.8098117293015688,0.6048831594106077
63,1,150.0,90.0,False,1.1138984449293918,0.04449294293846045,1.0957977526309968,0.5791956939339261,0.5347027509954657
64,1,150.0,120.0,False,1.355837685258584,0.09743599475805165,1.2959556444196139,0.7266368400083179,0.6292008452502662
65,1,150.0,150.0,True,0.6858190817833385,0.30205238297026893,0.8408628840582014,0.4939357323768037,0.1918833494065348
66,1,150.0,180.0,False,0.43612194924198755,0.14230159255135338,0.4537432994995193,0.2892117708966705,0.14691017834531708
67,1,150.0,210.0,False,0.5255767202110058,0.11220796398258703,0.49050688200015263,0.3188923420967964,0.20668437811420937
68,1,150.0,240.0,False,0.6807812938583868,0.08306314509769976,0.6992290226893416,0.3819222194780433,0.29885907438034354
69,1,150.0,270.0,False,0.9267465446746848,0.09285120312470053,0.9596889495920584,0.5097988738996927,0.4169476707749921
70,1,150.0,300.0,False,1.4503310641024267,0.3098072224562153,1.488834343551013,0.8800691432793211,0.5702619208231057
71,1,150.0,330.0,False,1.5093394874779444,0.38865017761040643,1.569703019511076,0.9489948325441755,0.5603446549337691
72,1,180.0,0.0,False,1.5793690091283616,0.07972580831559933,1.5704835454123507,0.8295474087219805,0.7498216004063811
73,1,180.0,30.0,False,1.4333463009973277,0.1804566033293155,1.4957135435948672,0.8069014521633217,0.6264448488340062
74,1,180.0,60.0,False,1.4452734028693328,0.15838809029283685,1.4368805093534376,0.8018307465810848,0.6434426562882479
75,1,180.0,90.0,False,1.2762310142646855,0.16095711047071212,1.1982720247259115,0.7185940623676988,0.5576369518969867
76,1,180.0,120.0,False,1.2418719501960624,0.13901473966625258,1.3266394242475945,0.6904433449311576,0.551428605264905
77,1,180.0,150.0,False,0.469197736320081,0.07610558638881876,0.5117384132107083,0.27265166135444985,0.19654607496563115
78,1,180.0,180.0,True,0.3896332238867724,0.07078289114923816,0.36561814974469353,0.23020805751800527,0.1594251663687671
