direc_idx,trial_0,trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15
0,0.07912878495972682,0.07783560290098926,0.07940730746812702,0.08609847060274356,0.08116713045645932,0.08382430794454929,0.07716974256697116,0.0736294930910283,0.07416712957870306,0.07829810813438262,0.0757033103439877,0.07775263008409487,0.082837263501711,0.08206344664679156,0.08045695655079299,0.08518689308136597
1,0.0804829944072346,0.07935631710883578,0.08194507675071522,0.07951178913444479,0.075241338424923,0.08327245632609788,0.08279248583877005,0.08099178969046737,0.07887368080368466,0.07695513590451587,0.07527243715326819,0.07603487492101857,0.08218989414794564,0.08037587031889379,0.08090541024569381,0.0780799138425963
10,0.08215242631765557,0.08194492687414626,0.08361272988420307,0.08365182055685048,0.07916817643742516,0.07890435335080012,0.08086022999650574,0.07750570487699138,0.08740314686684157,0.07832110946319304,0.07443868730029737,0.08592216375268821,0.08597344153348525,0.07842862328799324,0.08059679990184757,0.08230744057400528
11,0.0770354770451603,0.07442921202455355,0.08156936857708558,0.07984779918438742,0.07795184883742892,0.07944279018106828,0.07946663475218857,0.07619615121510541,0.07696405820557689,0.0853116321378756,0.07917808422200912,0.08340749944664494,0.0876821278693736,0.08381905825881415,0.07490483986044903,0.07713255230738501
12,0.0821374273716994,0.08279419912594671,0.07516213257369779,0.08194757235838916,0.08034951545272245,0.07404256234622594,0.08276665658724278,0.08744984748099896,0.07761340852525384,0.07962238401807274,0.07544815945689207,0.0779854382686389,0.08065039090106477,0.0752987758269853,0.07946444553033326,0.07734527963348091
13,0.07580881522548295,0.07448755893236753,0.0793720066474734,0.07488792032799635,0.07686124525711699,0.08117997035955671,0.07864305859896703,0.0808008757645428,0.07758313543922024,0.07885004718292207,0.07649846921514167,0.06950637122397649,0.07793078213706538,0.07820091648788596,0.07946506937557765,0.0820064028707281
2,0.07601079904570511,0.08241093253610166,0.08119476041053207,0.08508286690131825,0.0859939463070239,0.07708704588943455,0.07475199519779382,0.07901797065825272,0.07941805297907988,0.08162947629794975,0.08132098286801394,0.07685616077049068,0.0864811016304873,0.0814062030619786,0.07913812823558164,0.07482999411694141
3,0.0828312458505478,0.08031563525158564,0.08042328346166466,0.07639531787918646,0.08083227125908635,0.0821270472692924,0.07605902018172409,0.07858519578402187,0.07152861051897769,0.07878173846322,0.07687190521176179,0.07800740743466383,0.07778680629168948,0.07845427202073055,0.07775721939319774,0.08198908462393752
4,0.08315151152847741,0.07448684166698101,0.07945989910576827,0.08302138803548523,0.08210557402834232,0.07997414178143394,0.0767611741587634,0.08182607431418988,0.08277643075952942,0.07975297850633378,0.07961051671940737,0.08244520271487944,0.08886229394241243,0.0755786973521038,0.08098463799806054,0.07744027794250136
5,0.0733701011321439,0.082660163282618,0.0762482370699768,0.08205342327905157,0.08426518527165269,0.08170749086147991,0.08154337596738298,0.07838323652236306,0.0799829298412229,0.07650728210207278,0.08758709911158,0.07442159119693388,0.08243876659375246,0.08062185683065358,0.0797348046322173,0.08609004922121832
6,0.07519279247333831,0.0806392724293396,0.07878761119480376,0.08299071098854975,0.07935310967073902,0.08607206951705376,0.07976034115385704,0.0794084722365071,0.07612634147462324,0.07970632489367482,0.07938866870150509,0.0801278420948166,0.08357209551913042,0.0769620744205278,0.07532047056339175,0.07877416596364563
7,0.08306257978607048,0.08180836240730693,0.08033883558915486,0.08802641446308357,0.0782848694147938,0.08386487121653938,0.07637295677308079,0.08104403873407687,0.08025316782086217,0.07791461140783852,0.07402116689117144,0.08228143783051298,0.08068408709382001,0.08308830634822752,0.0783849475401821,0.07904413383419889
8,0.07945592012408015,0.07916830304188825,0.07838975273785793,0.09026083516875558,0.08087018251904801,0.08219933477172042,0.07758339611148182,0.07426799719313122,0.07658125710719785,0.07763439104555529,0.08413966485067716,0.07522600844286358,0.08199354284494696,0.08737650330167288,0.08545243353170247,0.0756316219845601
9,0.08414318350090311,0.08030979939103966,0.07789232049169462,0.08308237177003581,0.0740379721541996,0.07420517128991493,0.08420796777681842,0.07325443526363398,0.07887245838680884,0.07943077075194911,0.0807104228889362,0.08368056525885548,0.08014625339619218,0.07697332128152623,0.07738891065484078,0.07910160188759467
