direc_idx,direc_key,centroid_mean_dist,centroid_std_dist,plane_angle_deg,mean_ring_radius_healthy,mean_ring_radius_diff,mean_ring_radius_diff_std
0,nullspace_00,0.505607545375824,0.048438288271427155,86.79133605957031,7.9665608406066895,-0.0008512735366821289,0.02960534580051899
1,nullspace_01,0.49128827452659607,0.028875410556793213,75.46119689941406,7.9665608406066895,-0.013952255249023438,0.03618435561656952
2,nullspace_02,0.5103685259819031,0.03935942053794861,84.18499755859375,7.9665608406066895,-0.019960790872573853,0.0353333055973053
3,nullspace_03,0.4854539930820465,0.03854803368449211,82.569091796875,7.9665608406066895,0.0030413269996643066,0.021806951612234116
4,nullspace_04,0.497356116771698,0.03622107580304146,80.2982177734375,7.9665608406066895,-0.005562096834182739,0.03878438100218773
5,nullspace_05,0.4979534447193146,0.03421837463974953,80.97917175292969,7.9665608406066895,0.007872253656387329,0.02781089022755623
6,nullspace_06,0.4903286099433899,0.04695733264088631,79.76509094238281,7.9665608406066895,0.005845844745635986,0.031063562259078026
7,nullspace_07,0.5118723511695862,0.041112761944532394,79.60530853271484,7.9665608406066895,-0.0085391104221344,0.04083903506398201
8,nullspace_08,0.5095435976982117,0.04835877940058708,80.93072509765625,7.9665608406066895,-0.0010701119899749756,0.0369098074734211
9,nullspace_09,0.4992758333683014,0.039496876299381256,82.4150390625,7.9665608406066895,-0.018297851085662842,0.035761747509241104
10,nullspace_10,0.5098913908004761,0.03823327645659447,84.53724670410156,7.9665608406066895,-0.004106283187866211,0.03854754939675331
11,nullspace_11,0.502658486366272,0.04760289564728737,79.09554290771484,7.9665608406066895,0.007695198059082031,0.03471368923783302
12,nullspace_12,0.4922565519809723,0.04146462678909302,80.64382934570312,7.9665608406066895,-0.00447043776512146,0.03676556050777435
13,nullspace_13,0.4926251173019409,0.04063783958554268,81.98838806152344,7.9665608406066895,-0.009656250476837158,0.029654188081622124
