direc_idx,metric,n_projections,mean_wasserstein,median_wasserstein,max_wasserstein,std_wasserstein
10,sliced_wasserstein,128,0.08132448631093309,0.081402578435326,0.08740314686684157,0.003382363285208618
7,sliced_wasserstein,128,0.08052967419693252,0.08051146134148743,0.08802641446308357,0.003198781245620761
4,sliced_wasserstein,128,0.08051485253466685,0.08047938988974723,0.08886229394241243,0.003384478136029947
5,sliced_wasserstein,128,0.08047597455727,0.08108261639901829,0.08758709911158,0.0038420220860480186
8,sliced_wasserstein,128,0.08038944654857122,0.07931211158298421,0.09026083516875558,0.004438040827607253
2,sliced_wasserstein,128,0.08016440105666783,0.08030640669480597,0.0864811016304873,0.0036016657635914158
0,sliced_wasserstein,128,0.07967041111952652,0.07926804621392691,0.08609847060274356,0.0035853958084324173
11,sliced_wasserstein,128,0.07964619588281915,0.0793104372015387,0.0876821278693736,0.0036832785539109235
1,sliced_wasserstein,128,0.07951759156369409,0.07994382972666929,0.08327245632609788,0.0025141664339685668
6,sliced_wasserstein,128,0.07951139770596898,0.07939857046900609,0.08607206951705376,0.0028359229304267637
12,sliced_wasserstein,128,0.07937988721610281,0.079543414774203,0.08744984748099896,0.0034700895745508396
9,sliced_wasserstein,128,0.07921484538405897,0.07926618631977189,0.08420796777681842,0.0034107454822460996
3,sliced_wasserstein,128,0.07867162880595549,0.07851973390237621,0.0828312458505478,0.002728133354963154
13,sliced_wasserstein,128,0.07763016531537634,0.07806584931247568,0.0820064028707281,0.002955085307543579
