trial_idx,cue,color1_deg,color2_deg,same_color,sw_Healthy_vs_Multi_dir0-1,sw_Healthy_vs_Multi_dir0-1-2,sw_Healthy_vs_Multi_dir0-1-2-3,sw_Multi_dir0-1_vs_Multi_dir0-1-2,sw_Multi_dir0-1_vs_Multi_dir0-1-2-3,sw_Multi_dir0-1-2_vs_Multi_dir0-1-2-3,sw_self_reference,teacher_vs_students_mean,teacher_vs_students_std
0,1,0.0,0.0,True,0.5784484936182297,0.47049972586702965,0.5095300309873307,0.6049201778321398,0.6599129354086786,0.08782606427239675,0.019009197726991185,0.51949275015753,0.0446294069323417
1,1,0.0,30.0,False,1.1177457611821506,0.6137594832439839,0.43800082849430183,0.7353900494746533,1.1666222312592345,0.503224792028755,0.020763420864114118,0.7231686909734788,0.28808687859822063
2,1,0.0,60.0,False,2.400924462068044,1.5781200797269683,0.6042902444387426,1.5355006802820668,2.297102789914417,1.3020128330719725,0.04425786781350316,1.5277782620779183,0.7343361409882492
3,1,0.0,90.0,False,1.3334365869580505,1.5707720325220615,0.7352438775702349,0.4622077965635852,1.1615314047411882,1.2839979947379137,0.06268810467771559,1.2131508323501157,0.3515473619115933
4,1,0.0,120.0,False,0.8881258466840247,1.0026117451671144,0.8589864942640613,0.5715777539357406,0.3093074869632334,0.5059939011353115,0.05793776919562564,0.9165746953717334,0.06198954706498696
5,1,0.0,150.0,False,1.2283605167263372,1.0443649612175319,1.0468646767802556,0.27291368972389474,0.2756194187448413,0.14357395450580257,0.10738800095358665,1.106530051574708,0.08615319233307739
6,1,0.0,180.0,False,1.456310599791107,1.3118638389576374,1.2140346040472307,0.23832758853628616,0.2845774870696822,0.2695549211447513,0.044591651695498946,1.327403014265325,0.09951721460917863
7,1,0.0,210.0,False,1.5445677790679269,1.3857909701821165,1.270122620096781,0.24049888788386192,0.3030986796446461,0.34777566700978624,0.01959834134569547,1.4001604564489414,0.11250154938889725
8,1,0.0,240.0,False,1.4180933238918614,1.2554269804073044,1.2213256457137747,0.2014741765062834,0.25702169814755077,0.32297508325891644,0.08049182393737131,1.2982819833376469,0.08585566667773895
9,1,0.0,270.0,False,1.2849818085884968,1.1129944180494933,1.0215433472688815,0.19828279567276846,0.34437109083328066,0.384771691072467,0.0938501713848527,1.1398398579689573,0.10921069532166942
